,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin
275,275,5,raxml,40,0,10,EXT,REF,0.00112717196950323,0.16471687873064,0.0318639002891932,0.0437773208733212,NA,NA,0.401775700334188,5.86021336240186,0.370662375183885,0.528915872327538,0.738579103144186,1.11157186002525
276,276,5,raxml,40,0,1,EXT,REF,1.74100902649347,1.00000050002909e-06,0.0344501872640477,0.175836685957075,NA,NA,3.85328768719737,5.01329575356877,0.433812261326325,1.23602265351409,0.829185461522469,1.72816897321992
277,277,5,raxml,40,0,2,EXT,REF,1.74100902649347,1.00000050002909e-06,0.0344501872640477,0.175836685957075,NA,NA,3.85328768719737,5.01329575356877,0.433812261326325,1.23602265351409,0.829185461522469,1.72816897321992
278,278,5,raxml,40,0,3,EXT,REF,1.00000050002909e-06,0.0339560096884638,0.0105830470659903,0.0157351660439965,NA,NA,0.826231422449012,3.53929538920073,0.354188491842379,0.51194530957906,0.733087808697017,1.10591500577576
279,279,5,raxml,40,0,4,EXT,REF,5.82015335794697e-05,0.118596734987955,0.0117789711376727,0.0179240676027612,NA,NA,1.44059236043394,4.20140601478497,0.304766841817861,0.461033621333629,0.683666158672499,1.05500331753033
280,280,5,raxml,40,0,5,EXT,REF,8.18432181447586e-05,0.190405971746409,0.0176161153383281,0.0245935228126299,NA,NA,0.733867771675844,4.75119878904762,0.304766841817861,0.461033621333629,0.683666158672499,1.05500331753033
281,281,5.5,raxml,40,0.25,0,INT,REF,0.000373974771340577,0.0611972242258662,0.00757808304849576,0.0113533943659718,NA,NA,-4.38329167843904,3.85192193337842,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
282,282,5.5,raxml,40,0.25,10,INT,REF,0.00696687294649467,0.0968164767255215,0.0344117520547998,0.0480915503528328,NA,NA,-1.99435640889088,5.9217963678609,0.461268733562168,0.582655987697715,0.829185461522469,1.14268455839746
283,283,5.5,raxml,40,0.25,1,INT,REF,0.000373974771340577,0.0611972242258662,0.00757808304849576,0.0113533943659718,NA,NA,-4.38329167843904,3.85192193337842,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
284,284,5.5,raxml,40,0.25,2,INT,REF,0.000373974771340577,0.0611972242258662,0.00757808304849576,0.0113533943659718,NA,NA,-4.38329167843904,3.85192193337842,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
285,285,5.5,raxml,40,0.25,3,INT,REF,0.000254783028926893,0.0258956642157465,0.0104206809342437,0.0147034382420342,NA,NA,-2.89844813911442,4.43129523557793,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
286,286,5.5,raxml,40,0.25,4,INT,REF,0.000329863709120582,0.0303370681638692,0.0115645674093693,0.0166334456805658,NA,NA,-2.34647924811061,4.74270114392424,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
287,287,5.5,raxml,40,0.25,5,INT,REF,0.00073178605900887,0.0523237804946458,0.0172902746736362,0.0238766966405579,NA,NA,-2.31998058453819,5.21975907884733,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
288,288,5.5,raxml,40,0.5,0,INT,REF,0.000425213333531432,0.0561514457240282,0.00732237463232655,0.0109433457622388,NA,NA,-3.38017759830326,3.56785235333597,0.444794850220662,0.582655987697715,0.796237694839457,1.14268455839746
