,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,avg_dxy,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin
284,284,2,SHORT,raxml,40,0.75,0.02,48696,0_0_0,EXT,REF,0.371971,0.165254008359297,0.180309014236564,0.0898512631031207,0.0640262446129079,58.7708333333333,29.8444474919421,-9.19438367883223,-8.79943325630813,0.398118847419728,0.53457272657703,0.952739586583763,1.12288556852424,72,0.343769507803121,0.460360935940304,-15.7766716848449,-0.0796237694839457,-0.123554125061295,0.383384770422624,-3.36464538452353,0.181019335983756,0.158391918985787
285,285,2,SHORT,raxml,40,0.9,0.02,48368,0_0_0,EXT,REF,0.371971,0.164300302686623,0.180885048962273,0.0900393832802923,0.0641606761867541,56.6041666666667,29.670344520609,-9.1969638595724,-8.79876836052117,0.398118847419728,0.53457272657703,0.952739586583763,1.12288556852424,72,0.343769507803121,0.460360935940304,-15.5351425662224,-0.0796237694839457,-0.123554125061295,0.380802418592933,-3.36404465120023,0.181019335983756,0.158391918985787
286,286,3,SHORT,raxml,40,0.5,0.02,46415,11_0_0,INT,REF,0.10311,0.180825596568124,0.18162304969076,0.0857338344463299,0.062810519711332,50.2708333333333,31.7381169475425,-9.27460502053592,-9.23965070483757,0.255345191793343,0.373352380466497,0.853896286534727,1.01257691065914,72,0.229355742296919,0.475978304857192,-16.8734445350546,-0.387136258525391,-0.332223314053704,0.374749709339879,-5.57289546033977,-0.149906637611548,-0.0650538238691625
287,287,7,SHORT,raxml,40,0.9,0.03,44356,0_0_0,EXT,REF,0.404188,0.186038745636823,0.243534644843654,0.0841903445182034,0.0614961963267668,57.7708333333333,32.6843313253369,-9.05257369385501,-9.0225667143352,0.315749430712198,0.362038671967512,0.831931108746053,0.984292639411674,58,0.18312925170068,0.350663979714118,-16.5839609162944,-0.233380014004668,-0.293784252923524,0.352773690698692,-3.32989585234717,-0.0650538238691624,-0.0311126983722082
288,288,1,SHORT,raxml,40,NA,0.02,51509,35_0_0,INT,REF,0.112562,0.177500790644814,0.164576136687433,0.0909148029210746,0.0695612964788333,33.7708333333333,26.3682913890935,-9.50617696058939,-9.33580554149052,0.26632778068768,0.528915872327538,0.689157453119668,1.11157186002525,86,0.471380552220888,0.630431264263922,-12.4921047579441,-0.222397425110331,-0.387136258525391,0.413584063335555,-2.95994251431171,0.164048773235279,0.147078210486802
289,289,3,SHORT,raxml,40,0.9,0.02,45716,11_0_0,INT,REF,0.10311,0.179505569742014,0.204637923641023,0.0860482394627761,0.0627983146823623,51.6458333333333,32.5880082260614,-9.26645280993205,-9.2300726382988,0.291038605699939,0.410121933088198,0.878607111546987,1.03803275478185,68,0.202420968387355,0.434930610858836,-15.9498154709243,-0.351442844618795,-0.307512489041445,0.369106058648753,-5.56315316447875,-0.113137084989848,-0.0395979797464467
290,290,2,SHORT,raxml,40,NA,0.03,48818,0_0_0,EXT,REF,0.371971,0.167851384145924,0.1764464850673,0.0904218331659467,0.0644696320657549,52.5833333333333,32.0111904192384,-9.32711857282113,-8.97330791060332,0.32947766683012,0.489317892581091,0.74132475036777,1.10025815152627,68,0.254365746298519,0.40909604683358,-10.576279025989,-0.148264950073554,-0.334968961277288,0.384345279334887,-3.53820605094511,0.135764501987817,0.135764501987817
291,291,3,SHORT,raxml,40,NA,0.03,46168,11_0_0,INT,REF,0.10311,0.179129267216446,0.183804396263463,0.0864098201026307,0.0627956634577842,53.6875,30.1373848912792,-9.50052817815891,-9.42284585117269,0.222397425110331,0.277185858225127,0.656209686436656,0.933380951166243,70,0.183069227691076,0.441469283677733,-17.9682239117343,-0.420084025208403,-0.529909914151776,0.372755457951169,-5.75559923455364,-0.246073159852919,-0.144249783362056
292,292,3,SHORT,raxml,40,0.75,0.02,46004,11_0_0,INT,REF,0.10311,0.177239060746091,0.191462453177004,0.0859369927046521,0.0624412367117535,51.7916666666667,32.0882813721527,-9.53988149104255,-9.47061029902074,0.189449658427319,0.271529003975634,0.733087808697017,0.933380951166243,68,0.132845138055222,0.430279623572056,-18.1646119310911,-0.453031791891415,-0.453031791891415,0.371431339620204,-5.80372331158951,-0.251730014102411,-0.144249783362056
293,293,1,SHORT,raxml,40,0.9,0.01,123551,35_0_0,INT,REF,0.112562,1.22585974273136,0.0764172229464726,0.0461800791912119,0.122128296718311,47.4583333333333,27.8979586939758,-9.41782292976073,-9.74955280189887,0.277310369582018,0.429920922961421,0.733087808697017,1.02389061915812,80,0.460904361744698,0.566227485801202,-10.0535437929414,-0.211414836215994,-0.343205902948042,0.992034879519523,-3.29199933756876,0.0650538238691624,0.05939696961967
