,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin
108,108,5,raxml,40,0.25,10,EXT,REF,0.0433048354158489,0.0433048354158489,0.00845032958840996,0.0261245628784455,33.5208333333333,32.9816129196275,-1.0699358658203,-1.0699358658203,0.507944736363102,0.507944736363102,0.831931108746053,0.831931108746053
109,109,2,raxml,40,0.9,0,EXT,REF,0.258787074894426,0.258787074894426,0.00312771890668723,0.0258487883712608,34.0833333333333,31.2885223557405,-0.552724241927635,-0.552724241927635,0.299275547370692,0.299275547370692,0.689157453119668,0.689157453119668
110,110,5,raxml,40,0.5,10,EXT,REF,0.0397626413273593,0.0397626413273593,0.0080532612906158,0.0236588733410652,32.9583333333333,32.1028654738359,0.463134355855758,0.463134355855758,0.532655561375361,0.532655561375361,0.845659344863975,0.845659344863975
111,111,5,raxml,40,0.75,10,EXT,REF,0.0378750798393845,0.0378750798393845,0.00774616326824248,0.0212166949906497,34.9166666666667,31.8419189342985,-0.825822857833761,-0.825822857833761,0.439303555773493,0.439303555773493,0.757798633709276,0.757798633709276
112,112,3,raxml,40,0.5,0,EXT,REF,0.278877359987034,0.278877359987034,0.00341268650264232,0.0278511282220023,48.4583333333333,33.9943414148142,-0.942217356550498,-0.942217356550498,0.483233911350843,0.483233911350843,0.90606358378283,0.90606358378283
113,113,1,raxml,40,0.9,0,EXT,REF,0.289518099814981,0.289518099814981,0.00357549473839222,0.0289146971479671,35.4166666666667,31.2715174147089,-1.69531627286668,-1.69531627286668,0.417338377984819,0.417338377984819,0.77976381149795,0.77976381149795
114,114,5,raxml,40,0.9,10,EXT,REF,0.0406012325777556,0.0406012325777556,0.00727498628994286,0.021001477716228,28.1875,28.6495005711919,-2.36227288641388,-2.36227288641388,0.499707794692349,0.499707794692349,0.900572289335661,0.900572289335661
115,115,4,raxml,40,0,0,EXT,REF,0.390962131407398,0.390962131407398,0.00445435588308165,0.039059406022323,39.0416666666667,38.0251643069083,-0.220048437178713,-0.220048437178713,0.667192275330993,0.667192275330993,1.06256547552714,1.06256547552714
116,116,3,raxml,40,0.9,0,EXT,REF,0.274291697441128,0.274291697441128,0.00339333678560581,0.0273922331106175,39.8333333333333,35.4828896933847,-1.69472941155642,-1.69472941155642,0.502453441915933,0.502453441915933,0.897826642112077,0.897826642112077
117,117,7,raxml,40,0.5,0,EXT,REF,0.247116973047408,0.247116973047408,0.0030162852197659,0.0246896894605316,44.1875,27.7486102776414,-2.04530536324746,-2.04530536324746,0.524418619704608,0.524418619704608,0.92528311434792,0.92528311434792
118,118,3,raxml,40,0.75,0,EXT,REF,0.273891514340604,0.273891514340604,0.00339262662836939,0.0273519983194646,41.625,34.14463915432,-0.685909419570805,-0.685909419570805,0.565603328058373,0.565603328058373,0.873115817099818,0.873115817099818
119,119,1,raxml,40,0.75,0,EXT,REF,0.283676819744638,0.283676819744638,0.00353518079478447,0.0283337597980347,35.2708333333333,32.2521578254411,-1.15558228711812,-1.15558228711812,0.455777439114999,0.455777439114999,0.818202872628131,0.818202872628131
120,120,4,raxml,40,0.5,0,EXT,REF,0.29040210805019,0.29040210805019,0.00358019445708589,0.0290019666972882,41.2916666666667,36.9858847908072,-1.17274138210411,-1.17274138210411,0.67817486422533,0.67817486422533,1.07354806442147,1.07354806442147
