,tree.num,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,avg_dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin,ml.tree
1352,1387,19,LONG,astral,40,0.5,0,EXT,REF,0_0_0,0.386977,0.938541666666667,0.140999314670635,0.480488264127258,0.633567675943147,0.837422403193221,1.15399826689645,0.0847212915343064,0.0210204081632653,0.0648139440622426,0,-0.208669188992409,-0.373408022407469,0,0,0.0622253967444162,0.0509116882454315,45
1353,1388,19,LONG,astral,40,0.25,0,EXT,REF,0_0_0,0.386977,0.926666666666667,0.162026177729105,0.480488264127258,0.633567675943147,0.837422403193221,1.15399826689645,0.0847212915343064,0.0210204081632653,0.0648139440622426,0,-0.208669188992409,-0.373408022407469,0,0,0.0622253967444162,0.0509116882454315,45
1354,1389,19,LONG,astral,40,0,0,EXT,REF,0_0_0,0.386977,0.925,0.163642058787634,0.480488264127258,0.633567675943147,0.837422403193221,1.15399826689645,0.0847212915343064,0.0210204081632653,0.0648139440622426,0,-0.208669188992409,-0.373408022407469,0,0,0.0622253967444162,0.0509116882454315,45
1355,1390,19,LONG,astral,40,0.75,0,INT,REF,44_0_0,0.0382692,0.95375,0.104832693454958,0.527164266928192,0.622253967444162,0.944502644913011,1.14834141264695,0.0757636728709825,0.00841536614645859,0.0566771321442869,0,-0.161993186191476,-0.26632778068768,0,0,0.0509116882454315,0.0452548339959391,45
1356,1391,19,LONG,astral,40,0.5,0,INT,REF,44_0_0,0.0382692,0.951041666666667,0.116331141132386,0.527164266928192,0.639224530192639,0.917046172677167,1.15965512114594,0.10997155011787,0.0221008403361345,0.0759995749357864,0,-0.161993186191476,-0.293784252923524,0,0,0.0678822509939085,0.0565685424949238,45
1357,1392,19,LONG,astral,40,0.25,0,INT,REF,44_0_0,0.0382692,0.95,0.111736772742812,0.527164266928192,0.639224530192639,0.917046172677167,1.15965512114594,0.10997155011787,0.0221008403361345,0.0759995749357864,0,-0.161993186191476,-0.293784252923524,0,0,0.0678822509939085,0.0565685424949238,45
1358,1393,19,LONG,astral,40,0,0,INT,REF,44_0_0,0.0382692,0.953125,0.10599390287563,0.527164266928192,0.639224530192639,0.917046172677167,1.15965512114594,0.10997155011787,0.0221008403361345,0.0759995749357864,0,-0.161993186191476,-0.293784252923524,0,0,0.0678822509939085,0.0565685424949238,45
1359,1394,20,LONG,astral,40,0.75,0,EXT,REF,0_0_0,0.459323,0.945416666666667,0.137065884659855,0.31025813626503,0.410121933088198,0.645227097542318,0.998434775035405,0.0431694868784226,0.00358943577430972,0.0251004324026201,0,-0.211414836215994,-0.458523086338584,0,0,0.0113137084989848,0.00565685424949247,46
1360,1395,20,LONG,astral,40,0.25,0,EXT,REF,0_0_0,0.459323,0.958333333333333,0.118201654834752,0.340460255724457,0.376180807591243,0.708376983684758,0.98712106653642,0.100665422760478,0.0935894357743097,0.0645226070886941,0,-0.181212716756566,-0.395373200196144,0,0,-0.0226274169979695,-0.00565685424949236,46
1361,1396,20,LONG,astral,40,0,0,EXT,REF,0_0_0,0.459323,0.959791666666667,0.122899190367178,0.31025813626503,0.410121933088198,0.645227097542318,0.998434775035405,0.0431694868784226,0.00358943577430972,0.0251004324026201,0,-0.211414836215994,-0.458523086338584,0,0,0.0113137084989848,0.00565685424949247,46
