,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1454,5,MED,raxml,40,0.75,0.02,INT,REF,63_0_0,NA,19350,0.468432264936574,-12.8405502163206,-11.4987953073835,-10.1878251071419,0.326096346494561,-197,-30,768,-265,-10,0.165734860032181,0.0763322387956692,0.0530913043092641,104,-12.0319274232557,0.304,724,67.8367346938775,30.1941121718525,1029091.57000885
1455,5,MED,raxml,40,0.75,0.03,INT,REF,63_0_0,NA,16729,0.404982085794519,-13.1346450274491,-13.7848856849962,-8.8962031240226,0.210829662084097,-314,-146,612,-406,-98,0.185837620639317,0.0843899935456915,0.0582308636264398,108,-12.6373538920801,0.187,583,67.4489795918367,32.031274166371,1029090.34605837
1456,5,MED,raxml,40,0.75,0.04,INT,REF,63_0_0,NA,15137,0.366442335625061,-12.9940136721409,-12.3056918622183,-9.13120738154029,0.330037087841927,-226,-91,793,-270,-65,0.200714553873751,0.0902944975246082,0.0613487700250162,114,-12.4163743271585,0.316,770,65.4897959183673,34.3955897730248,1029089.68859897
1457,5,MED,raxml,40,0.75,0.05,INT,REF,63_0_0,NA,13812,0.334366224460153,-12.9137849243878,-11.906648365256,-9.11307783883322,0.303437083747205,-237,-112,806,-309,-74,0.218643324465849,0.0967652338663524,0.0658815560341166,118,-12.3829255053463,0.283,721,74.8877551020408,24.3170139635679,1029088.69248191
1458,5,MED,raxml,40,0.75,0.1,INT,REF,63_0_0,NA,10210,0.247167618863174,-12.7069976266856,-1.41730255966847,-8.6074208017076,0.389148208052422,-228,-100,769,-278,-64,0.259720169214168,0.117971937108937,0.0789525765066025,130,-12.0533960408805,0.322,754,62.6938775510204,31.58050036599,1029085.78081133
1459,5,MED,raxml,40,NA,0.01,INT,REF,63_0_0,NA,25233,0.610850198508763,-13.2128680346683,-15.9726529708751,-9.6152075832265,0.33791857053666,-272,-136,769,-294,-86,0.144416172190144,0.063812668496818,0.0440791556222847,112,-12.7737097683269,0.27,746,72.7448979591837,26.0611142265972,1029093.81390694
1460,5,MED,raxml,40,NA,0.02,INT,REF,63_0_0,NA,19447,0.470780478357703,-13.1545407122188,-13.6195353958763,-9.01209795215039,0.293585230378789,-263,-127,770,-293,-89,0.165724389170333,0.0765988426675737,0.0533076164069307,102,-12.6452538750387,0.279,747,69.8571428571429,28.7387808679004,1029091.53469412
1461,5,MED,raxml,40,NA,0.03,INT,REF,63_0_0,NA,16826,0.407330299215648,-13.0903707608793,-12.3522317592818,-9.47056160564346,0.36944450131559,-260,-132,801,-306,-92,0.185436258007779,0.0847863230517454,0.0582334512378856,104,-12.5342193186505,0.29,726,70.4081632653061,30.5893441235868,1029090.27016092
1462,5,MED,raxml,40,NA,0.04,INT,REF,63_0_0,NA,15233,0.368766340660405,-12.9394981500927,-11.2072025778532,-9.47605070416936,0.247281519547235,-264,-85,679,-354,-57,0.200517598091804,0.0907912705319638,0.0622912629805027,108,-12.3600484163697,0.237,635,70.3571428571429,30.272048282475,1029089.34365116
1463,5,MED,raxml,40,NA,0.05,INT,REF,63_0_0,NA,13908,0.336690229495497,-12.9571075907132,-12.1456065254274,-10.3654022465213,0.279792635663007,-261,-137,788,-327,-93,0.216752777626628,0.0966972837509258,0.0658831489639265,114,-12.4083090006711,0.259,703,73.5,26.5319298010731,1029088.60333774
