,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps
219,219,8,raxml,40,0.25,2,INT,REF,1.00000050002909e-06,0.136476300920009,0.00794062825430061,0.0158416370535796,91.6666666666667,16.4191550477566,-1.74989105330078,3.23138268471378,0.302021194594277,0.545886435076015,0.691903100343252,1.13985613127271,s8_q40_miss0.25_mac2.REF.cichlids.INT.noInv,24178
220,220,9,raxml,40,0.5,5,INT,REF,0.00125245354487796,0.0383893676296289,0.0168487902153942,0.0276080114388804,89.8333333333333,15.9937931223246,-1.01511478838274,4.44552105168795,0.367916727960301,0.596798123321446,0.74132475036777,1.17945411101916,s9_q40_miss0.50_mac5.REF.cichlids.INT.noInv,3640
221,221,9,raxml,40,0.9,5,INT,REF,0.00503690424756565,0.0211808170811077,0.0129462036587925,0.0249471576378872,72.1458333333333,30.9453805601771,-1.30474850057069,4.36354629783477,0.214160483439578,0.811758584802157,0.521672972481023,1.33784603000495,s9_q40_miss0.90_mac5.REF.cichlids.INT.noInv,697
222,222,3,raxml,40,0.5,0,INT,REF,0.000435501715959929,1.74204037073953e-05,0.00744650772685813,0.0120169227265318,94.6041666666667,15.8096921300899,2.74119496528211,2.57911572648932,0.359679786289548,0.57134227919873,0.733087808697017,1.18228253814391,s3_q40_miss0.50_mac0.REF.cichlids.INT.noInv,87471
223,223,9,raxml,40,0,10,INT,REF,1.00000050002909e-06,0.102831292111139,0.0390801655345936,0.051389728922216,88.4375,17.5158362996631,1.54901433880168,4.32036563033004,0.373408022407469,0.605283404695685,0.77976381149795,1.1879393923934,s9_q40_miss0_mac10.REF.cichlids.INT.noInv,2271
224,224,9,raxml,40,0,2,EXT,REF,0.00851808449265824,0.00137600373194231,0.0120747390636711,0.0537967709213551,93.2083333333333,15.2761228418082,-10.703020031948,8.43879713247229,0.208669188992409,0.907925107043527,0.488725205798011,1.40572828099886,s9_q40_miss0_mac2.REF.cichlids.EXT.noInv,146902
225,225,9,raxml,40,0.25,10,INT,REF,1.00000050002909e-06,0.103285951729573,0.0390437434710849,0.0513901344820407,89.3333333333333,16.406191531473,1.61864003835065,4.05228301294902,0.373408022407469,0.605283404695685,0.77976381149795,1.1879393923934,s9_q40_miss0.25_mac10.REF.cichlids.INT.noInv,2252
226,226,4,raxml,40,0.75,2,EXT,REF,1.00000050002909e-06,0.0394455392502787,0.0072660024199004,0.0166570811166738,89.9375,16.384224703932,-0.84924977120671,2.09785808990395,0.343205902948042,0.480832611206852,0.809965930957378,1.05217489040558,s4_q40_miss0.75_mac2.REF.cichlids.EXT.noInv,34035
227,227,6,raxml,40,0.5,1,EXT,REF,1.00000050002909e-06,0.259953528621903,0.00789219954959939,0.0261311989732165,96.0625,13.4249787035768,2.09330402506547,2.71502263788358,0.302021194594277,0.503460028204822,0.65895533366024,1.09177287015203,s6_q40_miss0.50_mac1.REF.cichlids.EXT.noInv,67894
228,228,9,raxml,40,0.75,10,INT,REF,0.0159576609084891,1.00000050002909e-06,0.036224344834975,0.049010921773445,80.1666666666667,25.3262401417248,-1.29569230417547,4.73308194695933,0.271819075134849,0.608111831820431,0.650718391989487,1.21339523651612,s9_q40_miss0.75_mac10.REF.cichlids.INT.noInv,1137
229,229,9,raxml,40,0.5,10,INT,REF,0.0112940885566245,0.0532748778892003,0.038021339962176,0.0501259560071148,86.3125,19.3359506971264,0.0472279342391558,3.8499862603663,0.373408022407469,0.605283404695685,0.77976381149795,1.1879393923934,s9_q40_miss0.50_mac10.REF.cichlids.INT.noInv,1946
230,230,8,raxml,40,0,2,INT,REF,0.00848495844640659,0.00293361823112677,0.013731331697293,0.0527638834518109,86.8333333333333,25.6865999781932,-10.5007914375775,7.11928976323358,0.269073427911265,0.681650937063832,0.571094622505541,1.23036579926459,s8_q40_miss0_mac2.REF.cichlids.INT.noInv,50993
