,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
132,132,6,Cichlids,astral,40,0.5,10,INT,REF,0.241146,0.972916666666667,0.08737199350036,0.527164266928192,0.777817459305202,0.862133228205481,1.32087546725647
133,133,4,Cichlids,astral,40,0.75,3,EXT,REF,0.281971,0.957083333333333,0.117617452991582,0.398118847419728,0.565685424949238,0.738579103144186,1.13137084989848
134,134,3,Cichlids,astral,40,0.9,10,INT,REF,0.229259,0.866458333333333,0.219016074250594,0.466760028009337,0.582655987697715,0.90606358378283,1.13702770414797
135,135,5,Cichlids,astral,40,0,2,INT,REF,0.229767,0.958541666666667,0.168699526205156,0.694648747566836,0.854184991673349,1.06805676997431,1.37461558262665
136,136,10,Cichlids,astral,40,0.9,10,INT,REF,0.224374,0.924375,0.16063578798941,0.455777439114999,0.543058007951268,0.917046172677167,1.12571399564898
137,137,3,Cichlids,astral,40,0.5,10,INT,REF,0.229259,0.982708333333333,0.0793789613408118,0.562857680834788,0.797616449178426,0.864878875429065,1.31239018588223
138,138,5,Cichlids,astral,40,0.5,3,EXT,REF,0.272258,0.929166666666667,0.211849337605695,0.387136258525391,0.924895669792004,0.76054428093286,1.43401255224632
139,139,9,Cichlids,astral,40,0.9,10,INT,REF,0.220617,0.953333333333333,0.125211877169848,0.258090839016927,0.461033621333629,0.598551094741385,1.06631702602931
140,140,7,Cichlids,astral,40,0.5,5,INT,REF,0.211928,0.969166666666667,0.103344771730222,0.422829672431987,0.565685424949238,0.801728989286625,1.11440028715
141,141,8,Cichlids,astral,40,0.9,3,EXT,REF,0.277349,0.915208333333333,0.168724748570392,0.453031791891415,0.545886435076015,0.897826642112077,1.10025815152627
142,142,10,Cichlids,astral,40,0.75,3,EXT,REF,0.272004,0.98125,0.0760354060863977,0.549129444716867,0.591141269071954,0.999415589384697,1.15682669402119
143,143,6,Cichlids,astral,40,0.75,5,INT,REF,0.241146,0.958333333333333,0.130373168714147,0.620516272530059,0.701449926937055,1.03236335606771,1.2614784976368
144,144,5,Cichlids,astral,40,0.5,5,INT,REF,0.229767,0.9675,0.0887621732736154,0.683666158672499,0.806101730552664,1.0515828866328,1.32087546725647
145,145,2,Cichlids,astral,40,0.9,5,INT,REF,0.209569,0.913125,0.15952264229336,0.370662375183885,0.5939696961967,0.705631336461174,1.17662568389442
146,146,2,Cichlids,astral,40,0.75,3,EXT,REF,0.271124,0.975,0.0905068470432051,0.546383797493282,0.610940258945177,0.875861464323402,1.18228253814391
147,147,9,Cichlids,astral,40,0.5,10,INT,REF,0.220617,0.989375,0.0380596536248368,0.510690383586686,0.673165655689593,0.840168050416806,1.20490995514188
148,148,4,Cichlids,astral,40,0.9,5,INT,REF,0.232505,0.925833333333333,0.145716619962629,0.395373200196144,0.506288455329568,0.735833455920601,1.0776307345283
149,149,5,Cichlids,astral,40,0.9,5,INT,REF,0.229767,0.8675,0.233142272333732,0.420084025208403,0.483661038331599,0.84291369764039,1.03237590053236
150,150,10,Cichlids,astral,40,0,2,INT,REF,0.224374,0.98875,0.0585144099364658,0.551875091940451,0.704278354061801,0.919791819900752,1.25299321626256
151,151,6,Cichlids,astral,40,0.5,5,INT,REF,0.241146,0.971041666666667,0.101818352718725,0.604042389188553,0.77216060505571,0.933520056018673,1.30956175875749
152,152,2,Cichlids,astral,40,0,2,INT,REF,0.209569,0.981458333333333,0.0593578969394807,0.661700980883824,0.806101730552664,1.01314382550262,1.34915973850393
