,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,avg_dxy,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites
107,107,4,MED,raxml,40,0.25,0.02,24655,0_0_0,EXT,REF,0.130938790573329,0.257973414952327,0.0667866506165486,0.0435556265293331,77.765306122449,26.6994733414247,-12.9746723240714,-11.8053453322217,0.38816302271558,0.315,0.792089010820625,0.813,NA,102,0.0540972464593398,0.226652033803583,-18.1372808657674,-0.0955629776736326,-0.152703727210444,0.198835455696509
108,108,4,MED,raxml,40,0.25,0.03,20740,0_0_0,EXT,REF,0.143410940141667,0.250628312058503,0.0743337280452961,0.048321221624577,70.9183673469388,31.1768065620913,-12.8856429128807,-11.5930068006193,0.418703768157669,0.336,0.816718644241664,0.818,NA,100,0.049036903690369,0.218896585760047,-20.3560791134246,-0.0709333442525933,-0.133985205810454,0.167262111180109
109,109,4,MED,raxml,40,0.25,0.04,18332,0_0_0,EXT,REF,0.157420065353532,0.336437138715576,0.0803786197021095,0.0520653294245136,73.9897959183673,26.8145578624743,-12.8542434157557,-11.5184529348038,0.384222281368214,0.339,0.819674200252189,0.819,NA,92,0.0488243110025288,0.20777510747106,-19.3405148240895,-0.073888900263118,-0.0935926069999494,0.147842286506932
110,110,4,MED,raxml,40,0.25,0.05,16506,0_0_0,EXT,REF,0.170937371353338,0.399289413859274,0.0858053582322117,0.0550980154839179,73.6020408163265,29.2097779829418,-12.8445239319379,-11.4769796714697,0.40097043209452,0.328,0.844303833673228,0.814,NA,106,0.0560487885523246,0.230973220768526,-20.6104595891151,-0.0640370468947022,-0.140881503168345,0.133116123777188
111,111,4,MED,raxml,40,0.25,0.1,11703,0_0_0,EXT,REF,0.203723379931134,0.322301489233796,0.103932750754212,0.0653073418138934,68.6632653061225,31.6139548586566,-12.6031304943921,-10.8705966551615,0.351711165252442,0.345,0.818689014915348,0.823,NA,104,0.0419069662068248,0.229883977409115,-11.7197634360596,-0.0886666803157416,-0.173392619284117,0.0943813156769922
112,112,4,MED,raxml,40,0.25,0,123979,0_0_0,EXT,REF,7.17039442649228,0.062018735693369,0.0618806379086671,0.505519800953004,74.3367346938775,27.6684881153395,-11.828864808658,-11.9562714868181,0.370429686652432,0.343,0.819674200252189,0.819,NA,88,0.0507337264338679,0.206500853507732,-11.876661131882,-0.0699481589157517,-0.0935926069999494,0.999854835197626
113,113,4,MED,raxml,40,0.5,0.01,33274,0_0_0,EXT,REF,0.129604054046133,0.20853131066792,0.0537910596482418,0.0355698130714488,75.1836734693878,28.9551188212747,-13.1343122503045,-12.1348551492285,0.312303751778779,0.284,0.820659385589031,0.788,NA,94,0.0429182510087743,0.206046264670909,-18.9376272683215,-0.128074093789405,-0.171422248610434,0.268345201900046
114,114,4,MED,raxml,40,0.5,0.02,24617,0_0_0,EXT,REF,0.131113413080952,0.263607672667412,0.0669020182845786,0.0437875215846095,75.0408163265306,30.0140580008312,-12.9627530995886,-11.8019616539979,0.344814867894551,0.317,0.84528901901007,0.813,NA,100,0.0530345279425902,0.212393598707871,-18.2937575144573,-0.0955629776736326,-0.0995037190209989,0.198528996669274
115,115,4,MED,raxml,40,0.5,0.03,20705,0_0_0,EXT,REF,0.143931830368785,0.218870844132278,0.0744971454206016,0.0487372704016854,71.8979591836735,29.5514542687899,-12.9082683320709,-11.6360614536457,0.383237096031372,0.338,0.816718644241664,0.816,NA,96,0.051335255974577,0.223866739500313,-17.4479972761354,-0.10640001637889,-0.128074093789404,0.166979846286604
116,116,4,MED,raxml,40,0.5,0.04,18297,0_0_0,EXT,REF,0.159970904545116,0.277989314755661,0.0804770374934616,0.0520742799342779,69.6938775510204,30.5568283030752,-12.9279521371509,-11.6542510136334,0.405896358778728,0.308,0.790118640146942,0.8,NA,100,0.0453341660696682,0.223827570614026,-18.9954068568691,-0.108370387052573,-0.114281499073623,0.147560021613426
117,117,4,MED,raxml,40,0.5,0.05,16472,0_0_0,EXT,REF,0.171280704113777,0.294518732025508,0.0857896725719645,0.0549046362995485,72.2142857142857,28.9764390603566,-12.864980795194,-11.5468998705633,0.399985246757679,0.302,0.857111243052169,0.798,NA,102,0.0518922096291262,0.229064138254231,-17.9235249692788,-0.114281499073623,-0.152703727210444,0.132841923594926
118,118,4,MED,raxml,40,0.5,0.1,11674,0_0_0,EXT,REF,0.203916283170973,0.408507543944856,0.10384254366233,0.0652440451733389,67.3469387755102,33.5239880389767,-12.6806536393398,-11.0418449285496,0.351711165252442,0.324,0.808837161546932,0.808,NA,104,0.0380817673604095,0.225275185121943,-19.0474924401168,-0.13792594715782,-0.135955576484137,0.0941474390509448
119,119,4,MED,raxml,40,0.5,0,123941,0_0_0,EXT,REF,7.15079204891384,0.0851274645970868,0.0617802442327498,0.504131597064164,72.8469387755102,26.9533204889056,-12.3140484511788,-12.5516318562339,0.302451898410363,0.263,0.727066778589081,0.787,NA,104,0.0617687074829932,0.252476395463799,-14.9610103800565,-0.154674097884127,-0.217725959441988,0.999548376170391
120,120,4,MED,raxml,40,0.75,0.01,33129,0_0_0,EXT,REF,0.128570586208346,0.209334154292653,0.0538271208382785,0.0355776189484632,76.6734693877551,26.3907104517582,-13.126218844644,-12.1177003362754,0.36944450131559,0.29,0.851200131031119,0.79,NA,96,0.0433096370861576,0.214615002578832,-19.0597173673888,-0.0955629776736326,-0.0935926069999494,0.267175818769809
121,121,4,MED,raxml,40,0.75,0.02,24513,0_0_0,EXT,REF,0.130143727670123,0.194521630228145,0.0668370564176961,0.0439476286222764,77.1836734693878,25.0011739678073,-12.9637139899606,-11.7787106046563,0.299496342399838,0.33,0.683718623768052,0.814,NA,100,0.0557524323860958,0.215526354071107,-18.9235416130022,-0.190140770010424,-0.261074114263017,0.197690266700001
122,122,4,MED,raxml,40,0.75,0.03,20605,0_0_0,EXT,REF,0.145855103348504,0.264726852920467,0.074535397278264,0.0483103633324308,72.5408163265306,29.1286405157504,-12.8702137109612,-11.6200855389221,0.288659303694581,0.342,0.634459356925973,0.822,NA,98,0.0390479864312962,0.192483265383798,-13.8374693883286,-0.200977808715681,-0.295555601052472,0.166173375162302
123,123,4,MED,raxml,40,0.75,0.04,18204,0_0_0,EXT,REF,0.158745564551428,0.284590646709209,0.0804517107481737,0.0518976549519368,72.969387755102,29.1807216694013,-12.8092104181356,-11.4689380858563,0.426585250852401,0.35,0.82657049761008,0.826,NA,104,0.0424078326199967,0.209698242249585,-17.4967949471323,-0.112311128399939,-0.133985205810454,0.146810003467826
124,124,4,MED,raxml,40,0.75,0.05,16383,0_0_0,EXT,REF,0.170212749668142,0.328404467004985,0.0856867658755279,0.0548964497450058,73.6428571428571,29.685377704933,-12.82610149752,-11.4607833191915,0.402940802768204,0.33,0.872874208441634,0.814,NA,96,0.0557041826631643,0.215261306547862,-19.5914256460532,-0.0866963096420584,-0.0965481630104742,0.132124164294297
125,125,4,MED,raxml,40,0.75,0.1,11601,0_0_0,EXT,REF,0.205536779974861,0.470792360724585,0.104282719043216,0.0652177615277104,66.2040816326531,34.5342976637326,-12.7245368900972,-11.1271147641849,0.334963014526135,0.302,0.866963096420585,0.8,NA,100,0.0633281287312405,0.222443206722214,-12.5057462710159,-0.0876814949789,-0.0778296416104843,0.0935587151302048
