,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
93,255,2,Cichlids,astral,40,0.25,4,EXT,REF,0.271124,77857,0.959375,0.108204028123391,0.571094622505541,0.625082394568908,0.889589700441324,1.19076781951815
94,437,2,Cichlids,astral,40,0.25,4,INT,REF,0.209569,116682,0.976875,0.092923126544518,0.571094622505541,0.664680374315355,0.895080994888492,1.21905209076561
95,711,2,Cichlids,astral,40,0.25,5,EXT,REF,0.271124,60672,0.977916666666667,0.0856255662092373,0.57658591695271,0.692964645562817,0.895080994888492,1.24733636201307
96,48,2,Cichlids,astral,40,0.25,5,INT,REF,0.209569,91220,0.975416666666667,0.0812916559883813,0.516181678033855,0.656195092941116,0.834676755969637,1.21056680939137
97,793,2,Cichlids,astral,40,0.25,10,EXT,REF,0.271124,36102,0.967291666666667,0.104835018985422,0.414592730761234,0.718420489685532,0.755052986485692,1.27279220613579
98,8,2,Cichlids,astral,40,0.25,10,INT,REF,0.209569,54355,0.971666666666667,0.080353827467349,0.604042389188553,0.718420489685532,0.895080994888492,1.27279220613579
99,634,2,Cichlids,astral,40,0.5,0,EXT,REF,0.271124,152257,0.968125,0.0954197055789105,0.343205902948042,0.650538238691624,0.634244508647981,1.21056680939137
100,205,2,Cichlids,astral,40,0.5,0,INT,REF,0.209569,225425,0.97375,0.103237487006437,0.532655561375361,0.644881384442131,0.834676755969637,1.20490995514188
101,484,2,Cichlids,astral,40,0.5,1,EXT,REF,0.271124,152257,0.962291666666667,0.11132164598697,0.485979558574427,0.659023520065862,0.793492047615872,1.21339523651612
102,612,2,Cichlids,astral,40,0.5,1,INT,REF,0.209569,225425,0.968541666666667,0.115408425212066,0.532655561375361,0.644881384442131,0.834676755969637,1.20490995514188
103,638,2,Cichlids,astral,40,0.5,2,EXT,REF,0.271124,152257,0.963541666666667,0.109573439539344,0.579331564176294,0.650538238691624,0.947248292136595,1.21056680939137
104,195,2,Cichlids,astral,40,0.5,2,INT,REF,0.209569,225425,0.97,0.10274943702284,0.532655561375361,0.644881384442131,0.834676755969637,1.20490995514188
105,124,2,Cichlids,astral,40,0.5,3,EXT,REF,0.271124,77282,0.982916666666667,0.0631094400105065,0.337714608500873,0.695793072687563,0.634244508647981,1.25016478913782
106,893,2,Cichlids,astral,40,0.5,3,INT,REF,0.209569,115447,0.976875,0.0922567243700391,0.491470853021596,0.65336666581637,0.84291369764039,1.20773838226662
107,293,2,Cichlids,astral,40,0.5,4,EXT,REF,0.271124,67753,0.970833333333333,0.097997684152692,0.337714608500873,0.695793072687563,0.634244508647981,1.25016478913782
108,604,2,Cichlids,astral,40,0.5,4,INT,REF,0.209569,101476,0.979375,0.0860085658772155,0.573840269729126,0.644881384442131,0.897826642112077,1.20490995514188
109,771,2,Cichlids,astral,40,0.5,5,EXT,REF,0.271124,52824,0.9825,0.0785100616942443,0.628753214200812,0.695793072687563,0.947248292136595,1.25582164338731
110,157,2,Cichlids,astral,40,0.5,5,INT,REF,0.209569,79411,0.976875,0.0741521222490803,0.477742616903674,0.650538238691624,0.785255105945119,1.20490995514188
111,819,2,Cichlids,astral,40,0.5,10,EXT,REF,0.271124,32101,0.96,0.162533139010467,0.315749430712198,0.69013621843807,0.606788036412138,1.25016478913782
112,75,2,Cichlids,astral,40,0.5,10,INT,REF,0.209569,48351,0.97875,0.0565544362125479,0.653464039213071,0.726905771059771,1.05432853385638,1.27562063326053
113,703,2,Cichlids,astral,40,0.75,0,EXT,REF,0.271124,96134,0.965,0.128989526211784,0.543638150269698,0.642052957317385,0.873115817099818,1.20208152801713
114,230,2,Cichlids,astral,40,0.75,0,INT,REF,0.209569,139679,0.982708333333333,0.0646344741467504,0.57658591695271,0.627910821693654,0.900572289335661,1.19359624664289
115,606,2,Cichlids,astral,40,0.75,1,EXT,REF,0.271124,96134,0.971875,0.103341125878676,0.529909914151776,0.622253967444162,0.826439814298884,1.1879393923934
116,702,2,Cichlids,astral,40,0.75,1,INT,REF,0.209569,139679,0.982708333333333,0.0598842707772652,0.535401208598945,0.627910821693654,0.837422403193221,1.19359624664289
117,649,2,Cichlids,astral,40,0.75,2,EXT,REF,0.271124,96134,0.961458333333333,0.128758219458076,0.466760028009337,0.619425540319416,0.801728989286625,1.19076781951815
118,211,2,Cichlids,astral,40,0.75,2,INT,REF,0.209569,139679,0.970625,0.0991325407638575,0.535401208598945,0.647709811566877,0.837422403193221,1.20773838226662
119,146,2,Cichlids,astral,40,0.75,3,EXT,REF,0.271124,47510,0.975,0.0905068470432051,0.546383797493282,0.610940258945177,0.875861464323402,1.18228253814391
120,886,2,Cichlids,astral,40,0.75,3,INT,REF,0.209569,69855,0.968333333333333,0.105413740743741,0.472251322456505,0.65336666581637,0.768781222603613,1.20773838226662
121,285,2,Cichlids,astral,40,0.75,4,EXT,REF,0.271124,41401,0.97875,0.0898136368359623,0.535401208598945,0.579827560572969,0.892335347664908,1.16814040252018
122,580,2,Cichlids,astral,40,0.75,4,INT,REF,0.209569,61079,0.974791666666667,0.0913955533005877,0.469505675232921,0.650538238691624,0.766035575380029,1.20490995514188
123,766,2,Cichlids,astral,40,0.75,5,EXT,REF,0.271124,31705,0.98,0.087275547987943,0.55736638638762,0.622253967444162,0.881352758770571,1.1879393923934
124,119,2,Cichlids,astral,40,0.75,5,INT,REF,0.209569,47144,0.970833333333333,0.111771677098532,0.571094622505541,0.642052957317385,0.939011350465842,1.20208152801713
125,805,2,Cichlids,astral,40,0.75,10,EXT,REF,0.271124,18958,0.949375,0.130096629390324,0.63973580309515,0.692964645562817,0.958230881030932,1.25299321626256
126,70,2,Cichlids,astral,40,0.75,10,INT,REF,0.209569,28381,0.970625,0.0852382455863464,0.551875091940451,0.707106781186547,0.853896286534727,1.2614784976368
