,tree.num,simulation,height,method,quality,missing,maf,sites,int,noref,gt_rf,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin,taxa_ref,avg_dxy
11,711,16,SHORT,raxml,40,0.5,0,173423,INT,REF,0.80842,0.144811075821419,0.0132727107134351,0.00368371792579972,0.0143056842190773,99.4166666666667,4.04145188432738,-5.93171343894957,-4.87077741638927,0.318495077935783,0.461033621333629,0.74132475036777,1.02671904628287,0.0596454858257681,0.0085234093637455,0.0457260523798619,-6.14372406486301,-0.274564722358433,-0.400864494643313,0.974779382834017,0.0432155924073436,-0.0113137084989848,-0.00565685424949236,11_0_0,0.0364154
12,712,16,SHORT,raxml,40,0,0,173976,INT,REF,0.80842,0.145322026711917,0.0133976507546684,0.00370119012267756,0.0143557957849982,99.3541666666667,4.32946158184277,-5.91095299721717,-4.82649011635481,0.318495077935783,0.461033621333629,0.74132475036777,1.02671904628287,0.0596454858257681,0.0085234093637455,0.0457260523798619,-6.33507882542801,-0.274564722358433,-0.400864494643313,0.977887696026081,0.0828739694466947,-0.0113137084989848,-0.00565685424949236,11_0_0,0.0364154
13,713,18,SHORT,raxml,40,0.25,0,176989,EXT,REF,0.84533,0.140694025683225,0.014617711584312,0.0044135732971723,0.0138696444307231,99.1875,5.62916512459885,-5.22116194132919,-5.15072717901914,0.2278887195575,0.226274169979695,0.689157453119668,0.882469262920811,0.0817015166528098,0.00830732292917167,0.0643303670870598,-9.28407627994243,-0.109825888943373,-0.296529900147108,0.970749552988668,-1.56325844685755,0.0169705627484772,0.0113137084989847,0_0_0,0.302315
14,714,18,SHORT,raxml,40,0.75,0,171393,EXT,REF,0.84533,0.137909709421916,0.0137310715627494,0.00431329307925665,0.0135971045928499,97.625,11.527257244222,-5.41749724785212,-5.37857114006004,0.211414836215994,0.209303607231218,0.67817486422533,0.871155554421827,0.0597447467815281,0.00572629051620648,0.0497471919861158,-8.51467472374333,-0.126299772284879,-0.307512489041445,0.940056603152664,-1.77698903870867,0,0,0_0_0,0.302315
15,715,16,SHORT,raxml,40,0.25,0,173903,INT,REF,0.80842,0.145279349366001,0.0133762211484015,0.00369919615811973,0.0143516442908077,99.2916666666667,4.90747728811182,-5.91372882334079,-4.83591782474108,0.318495077935783,0.461033621333629,0.74132475036777,1.02671904628287,0.0596454858257681,0.0085234093637455,0.0457260523798619,-6.17296701731978,-0.274564722358433,-0.400864494643313,0.97747737620145,0.0753662689471488,-0.0113137084989848,-0.00565685424949236,11_0_0,0.0364154
16,716,18,SHORT,raxml,40,0,0,177065,EXT,REF,0.84533,0.140753085141269,0.01463834855921,0.00441572970160293,0.0138753950361919,99.0833333333333,6.35085296108588,-5.21869968676006,-5.14654007773158,0.2278887195575,0.226274169979695,0.689157453119668,0.882469262920811,0.0817015166528098,0.00830732292917167,0.0643303670870598,-9.38826558688809,-0.109825888943373,-0.296529900147108,0.971166397911388,-1.55840137359675,0.0169705627484772,0.0113137084989847,0_0_0,0.302315
17,717,17,SHORT,raxml,40,0.25,0,176526,EXT,REF,0.76973,0.110286074034208,0.01052754295293,0.00302944346429923,0.0108853101176184,99.9166666666667,0.403881873046918,-4.61491239535921,-4.25963700761936,0.24710825012259,0.373352380466497,0.730342161473433,0.95035151391472,0.0109221392883285,0.00056422569027611,0.0113520890318164,-6.72032613022304,-0.258090839016927,-0.334968961277288,0.983519422344053,-1.16797230348287,-0.00848528137423854,-0.00282842712474618,0_0_0,0.330525
18,718,17,SHORT,raxml,40,0,0,176597,EXT,REF,0.76973,0.110295432530387,0.0105410544659495,0.00303034247093364,0.0108861876542587,99.8541666666667,0.874936674506883,-4.6107442656573,-4.25383621628637,0.24710825012259,0.373352380466497,0.730342161473433,0.95035151391472,0.0109221392883285,0.00056422569027611,0.0113520890318164,-6.70555178082598,-0.258090839016927,-0.334968961277288,0.983915000780014,-1.16266245091873,-0.00848528137423854,-0.00282842712474618,0_0_0,0.330525
19,719,17,SHORT,raxml,40,0.5,0,176006,EXT,REF,0.76973,0.110124707846755,0.0086892760053233,0.0030220095710281,0.0108696666613481,99.7083333333333,1.23698902338365,-4.63113488714005,-4.28744114704226,0.307512489041445,0.373352380466497,0.719359572579095,0.95035151391472,0.0109221392883285,0.00056422569027611,0.0113520890318159,-8.5546058084581,-0.197686600098072,-0.345951550171626,0.980622228165185,-1.1892064338107,-0.00848528137423854,-0.00282842712474618,0_0_0,0.330525
20,720,18,SHORT,raxml,40,0.5,0,176416,EXT,REF,0.84533,0.14026931792894,0.0145031774300238,0.00439644929004646,0.013828291268623,99.25,5.19615242270663,-5.2380994902222,-5.1761625503352,0.2278887195575,0.226274169979695,0.689157453119668,0.882469262920811,0.0817015166528098,0.00830732292917167,0.0643303670870598,-9.26118076117723,-0.109825888943373,-0.296529900147108,0.967606761663431,-1.58711107865085,0.0169705627484772,0.0113137084989847,0_0_0,0.302315
21,721,18,SHORT,raxml,40,0.75,0,169337,INT,REF,0.84533,0.135532579838764,0.0142028939506073,0.00439420256886688,0.013358223674228,97.625,10.5641404681019,-5.52112822952158,-5.45637736981239,0.203177894545241,0.203646752981726,0.653464039213071,0.865498700172334,0.142291019413528,0.0475030012004802,0.0955420488925711,-9.75113253439707,-0.134536713955632,-0.332223314053704,0.928779851032788,-1.86300553496888,-0.00565685424949236,-0.00565685424949247,25_0_0,0.0417308
22,722,18,SHORT,raxml,40,0.5,0,174056,INT,REF,0.84533,0.137480098312799,0.014439883547534,0.00448683583554076,0.0135475195466394,97.0416666666667,11.5886193867423,-5.42961288350028,-5.34413519268971,0.203177894545241,0.203646752981726,0.653464039213071,0.865498700172334,0.128212880452215,0.0469387755102041,0.0907530349474566,-8.73349597290632,-0.134536713955632,-0.332223314053704,0.954662629852678,-1.7590797364707,-0.00565685424949236,-0.00565685424949247,25_0_0,0.0417308
23,723,18,SHORT,raxml,40,0,0,174610,INT,REF,0.84533,0.137889042765998,0.0120430542240353,0.00450506866736429,0.013587220292194,98.1458333333333,8.57504936610896,-5.41163095669912,-5.32033949689051,0.208669188992409,0.203646752981726,0.604042389188553,0.865498700172334,0.128212880452215,0.0469387755102041,0.0907530349474568,-8.77951491689584,-0.129045419508464,-0.381644964078222,0.957701209947236,-1.71292841990483,-0.00565685424949236,-0.00565685424949247,25_0_0,0.0417308
