,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,snps,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
170,806,3,Lates,astral,40,0.5,0,INT,REF,0.0410177,30488,0.804583333333333,0.204481267240993,0.323986372382951,0.86832712729708,0.626007566977228,1.41138513524835
171,600,3,Lates,astral,40,0.5,1,EXT,REF,0.54571,126634,0.891458333333333,0.212542757483913,0.939011350465842,0.967322076663197,1.26848901729596,1.4877526676165
172,118,3,Lates,astral,40,0.5,1,INT,REF,0.0410177,30488,0.811041666666667,0.222445208011717,0.302021194594277,0.851356564548603,0.636990155871565,1.38310086400089
173,658,3,Lates,astral,40,0.5,2,EXT,REF,0.54571,126634,0.874791666666667,0.222691367222578,0.864878875429065,0.89095454429505,1.20533913115352,1.42269884374733
174,494,3,Lates,astral,40,0.5,2,INT,REF,0.0410177,30488,0.807083333333333,0.240159152313037,0.222397425110331,0.899439825669288,0.485979558574427,1.42552727087208
175,732,3,Lates,astral,40,0.5,3,EXT,REF,0.54571,27799,0.843333333333333,0.239177076156695,0.332223314053704,1.1879393923934,0.55736638638762,1.62351716960431
176,428,3,Lates,astral,40,0.5,3,INT,REF,0.0410177,6895,0.785833333333333,0.222297800386638,0.252599544569759,1.02671904628287,0.499707794692349,1.53583592873718
177,593,3,Lates,astral,40,0.5,4,EXT,REF,0.54571,24018,0.857083333333333,0.205052752250912,1.11473277277524,1.2247089450151,1.38929749513367,1.64897301372703
178,431,3,Lates,astral,40,0.5,4,INT,REF,0.0410177,6267,0.769791666666667,0.235710691615472,0.955485233807348,1.04368960903134,1.31791066732048,1.50755165748972
179,728,3,Lates,astral,40,0.5,5,EXT,REF,0.54571,22084,0.852083333333333,0.221570394494192,1.05981982830355,1.18228253814391,1.32889325621482,1.61220346110533
180,391,3,Lates,astral,40,0.5,5,INT,REF,0.0410177,5888,0.778333333333333,0.230903252590208,0.656209686436656,1.1511698397717,0.941756997689426,1.59240447123211
181,148,3,Lates,astral,40,0.5,10,EXT,REF,0.54571,15826,0.845416666666667,0.227052888518066,0.354188491842379,1.30390490450799,0.568348975281957,1.72251211897043
182,370,3,Lates,astral,40,0.5,10,INT,REF,0.0410177,4422,0.761041666666667,0.238293932417404,0.263582133464096,1.10591500577576,0.455777439114999,1.55280649148566
183,648,3,Lates,astral,40,0.75,0,EXT,REF,0.54571,87907,0.86375,0.243508268023377,0.340460255724457,0.970150503787943,0.631498861424397,1.47361053199277
184,793,3,Lates,astral,40,0.75,0,INT,REF,0.0410177,20728,0.817916666666667,0.227623787536545,0.280056016805602,0.905096679918781,0.609533683635722,1.43118412512157
185,654,3,Lates,astral,40,0.75,1,EXT,REF,0.54571,87907,0.857916666666667,0.244400772479656,0.343205902948042,0.972978930912689,0.634244508647981,1.47643895911751
186,160,3,Lates,astral,40,0.75,1,INT,REF,0.0410177,20728,0.808125,0.26393629349007,0.340460255724457,0.862670273047588,0.669937922554577,1.38875771825038
187,690,3,Lates,astral,40,0.75,2,EXT,REF,0.54571,87907,0.870208333333333,0.237141573509422,0.340460255724457,0.970150503787943,0.631498861424397,1.47361053199277
188,527,3,Lates,astral,40,0.75,2,INT,REF,0.0410177,20728,0.807708333333333,0.243871605417847,0.288292958476355,0.865498700172334,0.623261919753644,1.39724299962462
189,733,3,Lates,astral,40,0.75,3,EXT,REF,0.54571,20057,0.825416666666667,0.256440099872651,1.01863511994979,1.09742972440152,1.29319984230822,1.58391918985787
