,tree.num,simulation,height,method,quality,missing,maf,int,noref,dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin
217,217,4,Lates,astral,40,0.9,4,EXT,REF,0.554472,0.80125,0.229343419908484,0.538146855822529,0.766503750806217,0.917046172677167,1.29259119600901
218,218,5,Lates,astral,40,0.9,4,EXT,REF,0.569217,0.737291666666667,0.267126072580874,0.488725205798011,0.848528137423857,0.74132475036777,1.3350176028802
219,219,2,Lates,astral,40,0.5,3,EXT,REF,0.556455,0.852708333333333,0.205081608907422,0.980196058819607,1.02389061915812,1.28221725341388,1.482095813367
220,220,2,Lates,astral,40,0.9,3,EXT,REF,0.556455,0.805625,0.218747948318646,0.80447463651021,0.854184991673349,1.11747841999882,1.36330187412766
221,221,6,Lates,astral,40,0.25,1,INT,REF,0.0389125,0.780833333333333,0.226554519607555,0.321240725159367,0.828729147550634,0.568348975281957,1.32087546725647
222,222,7,Lates,astral,40,0.25,1,INT,REF,0.0393079,0.792083333333333,0.267223377220881,0.785255105945119,0.840042856049618,1.17513701169409,1.36613030125241
223,223,9,Lates,astral,40,0.25,1,INT,REF,0.0392779,0.846458333333333,0.21347668748435,0.332223314053704,0.811758584802157,0.628753214200812,1.33784603000495
224,224,5,Lates,astral,40,0.25,1,INT,REF,0.0398327,0.779791666666667,0.228980065873377,0.516181678033855,0.670337228564847,0.867624522652649,1.21339523651612
225,225,2,Lates,astral,40,0.25,1,INT,REF,0.0360989,0.844166666666667,0.207239540026402,0.727596514249848,0.777817459305202,1.04060029773846,1.2982480502585
226,226,10,Lates,astral,40,0.25,1,INT,REF,0.0378395,0.830625,0.217318339397065,0.708376983684758,0.811758584802157,1.0158894727262,1.34915973850393
227,227,1,Lates,astral,40,0.25,1,INT,REF,0.0397409,0.79625,0.230195337956748,0.337714608500873,0.828729147550634,0.645227097542318,1.37744400975139
228,228,10,Lates,astral,40,0.25,0,INT,REF,0.0378395,0.824375,0.226160423668781,0.653464039213071,0.726905771059771,0.960976528254517,1.26430692476155
229,229,5,Lates,astral,40,0.25,0,INT,REF,0.0398327,0.795208333333333,0.224613043930102,0.615024978082891,0.729734198184517,0.98843300049036,1.26713535188629
230,230,8,Lates,astral,40,0.25,1,INT,REF,0.0382194,0.844583333333333,0.214872137470154,0.711122630908342,0.783474313554695,1.05707418107997,1.28693434175952
231,231,2,Lates,astral,40,0.25,0,INT,REF,0.0360989,0.842708333333333,0.197954858203897,0.730342161473433,0.77216060505571,1.04883723940922,1.2982480502585
232,232,4,Lates,astral,40,0.25,0,INT,REF,0.0408547,0.856875,0.205282952106433,0.628753214200812,0.673165655689593,0.958230881030932,1.22753737213985
233,233,7,Lates,astral,40,0.25,0,INT,REF,0.0393079,0.814375,0.251141277948014,0.744070397591354,0.825900720425887,1.09551324221015,1.35764501987817
234,234,6,Lates,astral,40,0.25,0,INT,REF,0.0389125,0.824375,0.205777262871518,0.351442844618795,0.92772409691675,0.582077211399879,1.40289985387411
235,235,9,Lates,astral,40,0.25,0,INT,REF,0.0392779,0.837916666666667,0.217480332525636,0.831931108746053,0.910753534168273,1.14493489223467,1.41987041662259
236,236,3,Lates,astral,40,0.25,0,INT,REF,0.0410177,0.82125,0.25431279952059,0.318495077935783,0.743876333808248,0.642481450318734,1.30390490450799
237,237,3,Lates,astral,40,0.25,1,INT,REF,0.0410177,0.828333333333333,0.243776435191365,0.277310369582018,0.77216060505571,0.590314153070632,1.32087546725647
238,238,8,Lates,astral,40,0.25,0,INT,REF,0.0382194,0.839583333333333,0.226837258500388,0.713868278131927,0.777817459305202,1.07080241719789,1.28127748751002
239,239,1,Lates,astral,40,0.25,0,INT,REF,0.0397409,0.83,0.217910776197458,0.326732019606536,0.817415439051649,0.63973580309515,1.3717871555019
240,240,4,Lates,astral,40,0.25,1,INT,REF,0.0408547,0.855833333333333,0.198888756818108,0.656209686436656,0.701449926937055,0.980196058819607,1.25016478913782
241,241,7,Lates,astral,40,0,1,INT,REF,0.0393079,0.764583333333333,0.276212671172617,0.845659344863975,0.958836795288958,1.2794716061903,1.4453262607453
242,242,10,Lates,astral,40,0,1,INT,REF,0.0378395,0.8075,0.200462231811827,0.631498861424397,0.698621499812309,0.911554878229998,1.23602265351409
243,243,1,Lates,astral,40,0,1,INT,REF,0.0397409,0.780833333333333,0.210872890354651,0.296529900147108,0.978635785162182,0.549129444716867,1.46512525061853
244,244,9,Lates,astral,40,0,1,INT,REF,0.0392779,0.7775,0.228719841634797,0.859387580981896,0.936209378290989,1.2273043089422,1.42269884374733
245,245,6,Lates,astral,40,0,1,INT,REF,0.0389125,0.79375,0.219328035677253,0.343205902948042,0.721248916810278,0.601296741964969,1.24733636201307
246,246,6,Lates,astral,40,0.5,1,INT,REF,0.0389125,0.79125,0.205329263338129,0.560112033611204,0.74953318805774,0.955485233807348,1.2982480502585
247,247,8,Lates,astral,40,0,1,INT,REF,0.0382194,0.819791666666667,0.189427913458295,0.735833455920601,0.885297690045557,1.04883723940922,1.36613030125241
248,248,3,Lates,astral,40,0,1,INT,REF,0.0410177,0.793541666666667,0.254370224265553,0.285547311252771,0.848528137423857,0.560112033611204,1.35198816562868
249,249,2,Lates,astral,40,0,1,INT,REF,0.0360989,0.843333333333333,0.220630945663561,0.77976381149795,0.845699710299111,1.12571536166958,1.32653232150596
250,250,9,Lates,astral,40,0.5,1,INT,REF,0.0392779,0.807916666666667,0.2404955728644,0.867624522652649,1.0040916292849,1.17513701169409,1.50189480324023
251,251,7,Lates,astral,40,0.5,1,INT,REF,0.0393079,0.792916666666667,0.19892218443651,0.815457225404547,0.834386001800126,1.16140877557617,1.36613030125241
252,252,10,Lates,astral,40,0.5,0,INT,REF,0.0378395,0.83,0.211690259477017,0.667192275330993,0.797616449178426,0.930774408795089,1.32936074863071
253,253,4,Lates,astral,40,0,1,INT,REF,0.0408547,0.846458333333333,0.199760383942632,0.672683569778162,0.715592062560786,1.04609159218563,1.25299321626256
254,254,2,Lates,astral,40,0.5,0,INT,REF,0.0360989,0.833958333333333,0.219164172248028,0.796237694839457,0.848528137423857,1.09276759498656,1.35198816562868
255,255,5,Lates,astral,40,0.5,0,INT,REF,0.0398327,0.768125,0.228618945716285,0.428320966879156,0.783474313554695,0.686411805896083,1.29259119600901
