,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
263,263,3,raxml,Cichlids,40,0,1,INT,REF,0.0264687277447753,0.000210228728009972,0.0113655394410084,0.0391145059040786,90.0625,19.1804490995277,3.06875554619742,3.43552383066318,0.389881905748975,1.21905209076561,0.669937922554577,1.69422784772297,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0_mac1_INT.noInv.phy,492054,0.229259
264,264,3,raxml,Cichlids,40,0,2,INT,REF,0.0264687277447753,0.000210228728009972,0.0113655394410084,0.0391145059040786,90.0625,19.1804490995277,3.06875554619742,3.43552383066318,0.389881905748975,1.21905209076561,0.669937922554577,1.69422784772297,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0_mac2_INT.noInv.phy,492054,0.229259
265,265,3,raxml,Cichlids,40,0,3,INT,REF,0.000587220932691129,0.0153760605271859,0.0106803738259689,0.0147290652563354,91.5625,19.4661804381616,-3.91908315607162,4.39156295299631,0.376153669631054,0.540229580826522,0.727596514249848,1.11722871427475,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0_mac3_INT.noInv.phy,154069,0.229259
266,266,4,raxml,Cichlids,40,0.25,0,EXT,REF,1.91375468916989e-05,0.0494434146670206,0.00727612276212941,0.0112025615101612,93.1041666666667,17.170285544328,1.03359150319467,3.21145836755661,0.337714608500873,0.463862048458375,0.705631336461174,1.05217489040558,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.25_mac0_EXT.noInv.phy,157499,0.281971
267,267,4,raxml,Cichlids,40,0.25,10,EXT,REF,1.00000050002909e-06,0.142208593545404,0.0284523241091916,0.0406819172722433,91.1875,18.711307595005,-1.2800089328273,5.8523779780484,0.351442844618795,0.478004184082106,0.713868278131927,1.06066017177982,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.25_mac10_EXT.noInv.phy,42082,0.281971
268,268,4,raxml,Cichlids,40,0.25,1,EXT,REF,1.91375468916989e-05,0.0494434146670206,0.00727612276212941,0.0112025615101612,93.1041666666667,17.170285544328,1.03359150319467,3.21145836755661,0.337714608500873,0.463862048458375,0.705631336461174,1.05217489040558,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.25_mac1_EXT.noInv.phy,157499,0.281971
269,269,4,raxml,Cichlids,40,0.25,2,EXT,REF,1.91375468916989e-05,0.0494434146670206,0.00727612276212941,0.0112025615101612,93.1041666666667,17.170285544328,1.03359150319467,3.21145836755661,0.337714608500873,0.463862048458375,0.705631336461174,1.05217489040558,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.25_mac2_EXT.noInv.phy,157499,0.281971
270,270,4,raxml,Cichlids,40,0.25,3,EXT,REF,1.00000050002909e-06,0.112557058647227,0.010283241166241,0.0127589330818703,93.2291666666667,16.5107825288904,-0.00797794532416322,4.26818626819622,0.337714608500873,0.463862048458375,0.705631336461174,1.05217489040558,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.25_mac3_EXT.noInv.phy,101065,0.281971
271,271,4,raxml,Cichlids,40,0.25,4,EXT,REF,1.00000050002909e-06,0.116084469806082,0.0114634370303734,0.0148212603717659,92.2291666666667,18.7324267530061,0.0236577545100003,4.63167276404864,0.337714608500873,0.463862048458375,0.705631336461174,1.05217489040558,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.25_mac4_EXT.noInv.phy,90428,0.281971
272,272,4,raxml,Cichlids,40,0.25,5,EXT,REF,1.00000050002909e-06,0.194284119117336,0.0145567902676659,0.0196031832703129,89.2291666666667,23.3632185768465,-0.264647034023665,5.05761837470522,0.362425433513132,0.489317892581091,0.719359572579095,1.06631702602931,s4_q40.EXT-cichlids-emp.phylip_tree_files/OUTFILE_s4_q40_miss0.25_mac5_EXT.noInv.phy,72743,0.281971
