,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,weighted.rf,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.colless,std.ingroup.gamma,std.ingroup.sackin,Q.Dist.ML,CI.Dist.ML
1581,1581,10,LONG,raxml,40,1,0.05,6293,77_0_0,INT,REF,0.0561495573738791,0.0433391597516599,0.0207910510354333,91.2142857142857,19.7130183580167,-8.27153186781234,-4.57363550310569,0.305407454420888,0.387,659,869,38,550602.938421179,-9.18526230709833,-0.12511853777888,-0.284718562347215,0.0521396909565434,-83,-6.19669779278166,-61,0.0300196550267272,0.0984037097497162
1582,1582,10,LONG,raxml,40,1,0.1,3912,77_0_0,INT,REF,0.0716956035455079,0.0524496214570305,0.0289076601317127,85.9489795918367,22.7402964233596,-8.14247655754489,-3.76480211083141,0.29457041571563,0.391,594,873,50,550602.938421179,-9.56443203979228,-0.163540765915701,-0.346785238568234,0.0324122788847922,-83,-6.19669779278166,-61,0.0333934617951591,0.124923262489462
1583,1583,10,LONG,raxml,40,1,0,117420,77_0_0,INT,REF,0.282588239923119,0.0038709693041523,0.0198611646480291,96.2448979591837,10.0903763730747,-10.183046167426,-10.2614381270027,0.375355613336639,0.279,869,779,24,550602.938421179,-14.3878184720409,-0.150733356536761,-0.15664446855781,0.972865487385559,-83,-6.19669779278166,-61,0.0307407067237336,0.0825444584640227
1584,1584,4,LONG,raxml,40,0.25,0.01,23148,33_0_0,INT,REF,0.0734136280648463,0.0237561139506215,0.0109143838760432,96.0102040816327,12.7832807188649,-8.31208018364469,-6.83680644027135,0.521163043189192,0.449,860,917,34,550602.938421179,-13.1459326551129,0.039407413473663,-0.0315259307789304,0.183109732945197,-83,-6.19669779278166,-61,0.0291648756712406,0.101542005408505
1585,1585,4,LONG,raxml,40,0.25,0.02,14199,33_0_0,INT,REF,0.0771572959202761,0.0331451953008652,0.0147676075934645,95.1122448979592,15.3111256988574,-7.88311730471545,-5.89405774656957,0.340874126547184,0.405,691,875,40,550602.938421179,-13.4261316663368,-0.166496321926226,-0.274866708978799,0.112319643083154,-83,-6.19669779278166,-61,0.0228419576651543,0.0980185616448276
1586,1586,4,LONG,raxml,40,0.25,0.03,10589,33_0_0,INT,REF,0.0970931836275199,0.0418147410934986,0.0189322865351792,95.8061224489796,10.5436336028839,-7.85334730106744,-5.72251951667324,0.354666721262966,0.409,679,877,52,550602.938421179,-8.48393141108864,-0.153688912547285,-0.262059299599859,0.083763131249209,-83,-6.19669779278166,-61,0.0231015754636688,0.117029476870381
1587,1587,4,LONG,raxml,40,0.25,0.04,8632,33_0_0,INT,REF,0.113452626905079,0.0473398914136748,0.0217078288235509,92.1632653061225,18.6047848171871,-8.04530009309951,-5.63524078551987,0.35663709193665,0.411,681,879,52,550602.938421179,-8.09363847478163,-0.12511853777888,-0.283733377010373,0.0682824958865966,-83,-6.19669779278166,-61,0.0233273939638862,0.11949349493786
1588,1588,4,LONG,raxml,40,0.25,0.05,7407,33_0_0,INT,REF,0.124060374816923,0.0520062689206246,0.0240035144705034,93.3979591836735,13.5172587624831,-8.01739786577521,-5.54997657566684,0.504414892462886,0.413,980,879,38,550602.938421179,-13.1685615124188,0.0216740774105146,-0.0847259389683753,0.0585922668016707,-83,-6.19669779278166,-61,0.0231015754636688,0.116290177016333
1589,1589,4,LONG,raxml,40,0.25,0.1,4732,33_0_0,INT,REF,0.164712933132377,0.0657493217408497,0.0313348463362213,92.6938775510204,14.5456325419937,-7.46879200193951,-5.15614066262065,0.336933385199818,0.413,726,887,50,550602.938421179,-8.60450727406033,-0.11920742575783,-0.239400036852502,0.0374319706366283,-83,-6.19669779278166,-61,0.0267151613120496,0.146865958307518
1590,1590,4,LONG,raxml,40,0.25,0,119268,33_0_0,INT,REF,0.375730146625202,0.00575671043417659,0.0264039209205345,96.4591836734694,9.40845021293174,-10.3892344406197,-10.1844450350351,0.299496342399838,0.312,759,796,46,550602.938421179,-11.8771858643755,-0.182259287315691,-0.207874106073572,0.943456524490571,-83,-6.19669779278166,-61,0.0237814801888352,0.109619894761879
1591,1591,4,LONG,raxml,40,0.5,0.01,23134,33_0_0,INT,REF,0.0732796182995209,0.0237550712149674,0.0109141951911019,96.2551020408163,11.1792436758816,-8.31814209210173,-6.8436236803062,0.525103784536559,0.449,876,917,34,550602.938421179,-14.3602311828509,0.0433481548210292,-0.0157629653894652,0.182998987469941,-83,-6.19669779278166,-61,0.0291648756712406,0.101542005408505
1592,1592,4,LONG,raxml,40,0.5,0.02,14185,33_0_0,INT,REF,0.0767932089479382,0.0331028298000526,0.0147409931820218,95.9897959183673,11.3487316135448,-7.89003138477727,-5.90404904773656,0.495548224431311,0.405,879,875,32,550602.938421179,-6.76826982714368,-0.0827555682946922,0.00591111202104944,0.112208897607898,-83,-6.19669779278166,-61,0.0228659600653943,0.101465786744873
1593,1593,4,LONG,raxml,40,0.5,0.03,10576,33_0_0,INT,REF,0.0969424044093434,0.041811274230947,0.0189280158986423,95.4897959183673,10.7619460336943,-7.85505303939574,-5.72701169534421,0.354666721262966,0.409,704,877,52,550602.938421179,-8.00160674763779,-0.128074093789405,-0.285703747684056,0.0836602961650424,-83,-6.19669779278166,-61,0.0231015754636688,0.117029476870381
1594,1594,4,LONG,raxml,40,0.5,0.04,8619,33_0_0,INT,REF,0.113296033329103,0.0473664928445697,0.0217287416203558,92.7244897959184,16.8117414862014,-7.8560737965277,-5.51918012110788,0.381266725357689,0.423,739,885,44,550602.938421179,-8.35445844540829,-0.10048890435784,-0.22560744213672,0.0681796608024301,-83,-6.19669779278166,-61,0.0232142397913261,0.120385093127032
1595,1595,4,LONG,raxml,40,0.5,0.05,7395,33_0_0,INT,REF,0.123805833123349,0.0519732402876369,0.0240378114229871,92.6428571428571,16.6282891483159,-8.10289888516668,-5.59582396205421,0.496533409768153,0.406,976,876,38,550602.938421179,-13.4717866462082,0.0147777800526236,0.00788148269473254,0.0584973421085938,-83,-6.19669779278166,-61,0.0230550401978973,0.113908558142171
1596,1596,4,LONG,raxml,40,0.5,0.1,4721,33_0_0,INT,REF,0.163990234547371,0.0657545664931205,0.0313214062505949,92.0408163265306,15.064752585448,-7.4229236599753,-5.14088201962183,0.326096346494561,0.416,681,888,56,550602.938421179,-7.02134022872227,-0.130044464463088,-0.260088928926175,0.0373449563346412,-83,-6.19669779278166,-61,0.0267626762676268,0.150633664138666
1597,1597,4,LONG,raxml,40,0.5,0,119254,33_0_0,INT,REF,0.375424100826018,0.00575186306494909,0.0263824788412267,95.8775510204082,11.159818668041,-10.0778775718512,-10.2614687702949,0.389148208052422,0.312,813,796,36,550602.938421179,-10.8910254957234,-0.0935926069999495,-0.154674097884127,0.943345779015314,-83,-6.19669779278166,-61,0.0237814801888352,0.109619894761879
1598,1598,4,LONG,raxml,40,0.75,0.01,23067,33_0_0,INT,REF,0.0723759868997612,0.0237583713759933,0.0108918113500529,96.3469387755102,10.3884373082554,-8.32895935939082,-6.85682786107046,0.4384074748945,0.449,918,917,44,550602.938421179,-9.01861558685309,0.0344814867894551,-0.0502444521789203,0.182468991266928,-83,-6.19669779278166,-61,0.0291888780714806,0.105021443159993
1599,1599,4,LONG,raxml,40,0.75,0.02,14148,33_0_0,INT,REF,0.0768095748571214,0.0330947026300811,0.0147429310964971,96.1836734693878,11.1339982155294,-7.89622556424462,-5.91196112994968,0.495548224431311,0.405,879,875,32,550602.938421179,-7.34619217319452,0.013792594715782,0.00591111202104944,0.111916213137578,-83,-6.19669779278166,-61,0.0228659600653943,0.101465786744873
1600,1600,4,LONG,raxml,40,0.75,0.03,10542,33_0_0,INT,REF,0.0969718998118455,0.0418403064012096,0.0189315687339232,95.1326530612245,12.9476644831844,-7.90208434357386,-5.75185274486486,0.341859311884026,0.406,669,876,44,550602.938421179,-13.1373243874742,-0.165511136589384,-0.270925967631433,0.0833913428679914,-83,-6.19669779278166,-61,0.0230540605080916,0.112529535984387
1601,1601,4,LONG,raxml,40,0.75,0.04,8590,33_0_0,INT,REF,0.113913886818255,0.0474263771127107,0.0218362778791003,92.9897959183673,16.8109530433573,-8.08098918859528,-5.67396072258495,0.364518574631382,0.405,705,875,40,550602.938421179,-13.0588826631687,-0.117237055084147,-0.260088928926175,0.0679502594608277,-83,-6.19669779278166,-61,0.0229369875763087,0.106553674646964
1602,1602,4,LONG,raxml,40,0.75,0.05,7368,33_0_0,INT,REF,0.123944494335313,0.052016406263187,0.0240718915559532,93.265306122449,15.4269485864453,-8.11191733731909,-5.60517909568582,0.338903755873501,0.406,706,876,44,550602.938421179,-13.3108085678758,-0.142851873842028,-0.259103743589334,0.058283761549171,-83,-6.19669779278166,-61,0.0230550401978973,0.113908558142171
1603,1603,4,LONG,raxml,40,0.75,0.1,4699,33_0_0,INT,REF,0.163672379976068,0.0658565987209852,0.0313188889680213,91.8775510204082,15.791988903501,-7.32268792820679,-5.06373184931425,0.487666741736579,0.429,813,895,58,550602.938421179,-7.54855237689566,0.00591111202104944,-0.153688912547285,0.037170927730667,-83,-6.19669779278166,-61,0.0271496537408843,0.157733138547091
1604,1604,4,LONG,raxml,40,0.75,0,119187,33_0_0,INT,REF,0.374879508041632,0.0057427144317873,0.0263443455589894,96.2959183673469,9.65188853233864,-10.073194814802,-10.2577228322426,0.316244493126145,0.312,805,796,36,550602.938421179,-11.6821000616987,-0.094577792336791,-0.161570395242018,0.942815782812302,-83,-6.19669779278166,-61,0.0237814801888352,0.109619894761879
1605,1605,4,LONG,raxml,40,NA,0.01,23152,33_0_0,INT,REF,0.0733902742665146,0.0237451926758078,0.0109022105216163,97.0714285714286,9.5747197208043,-8.31725694261365,-6.84073726335762,0.442348216241866,0.449,921,917,32,550602.938421179,-13.8752537083263,0.0581259348736529,-0.0472888961683956,0.183141374509556,-83,-6.19669779278166,-61,0.0291888780714806,0.105021443159993
1606,1606,4,LONG,raxml,40,NA,0.02,14203,33_0_0,INT,REF,0.0770811687312689,0.0331195312213914,0.0147498795543983,95.8673469387755,13.0649746253434,-7.89352917368667,-5.899046825393,0.315259307789304,0.405,691,875,42,550602.938421179,-13.2214256942629,-0.139896317831503,-0.274866708978799,0.112351284647513,-83,-6.19669779278166,-61,0.0228659600653943,0.101465786744873
1607,1607,4,LONG,raxml,40,NA,0.03,10593,33_0_0,INT,REF,0.0974459291116216,0.0418966419030541,0.0190095432725265,94.9591836734694,13.5463453186344,-7.95419104630314,-5.76178811000944,0.340874126547184,0.405,691,875,42,550602.938421179,-13.3530346260332,-0.140881503168345,-0.298511157062997,0.0837947728135679,-83,-6.19669779278166,-61,0.02284293735496,0.101809845427185
1608,1608,4,LONG,raxml,40,NA,0.04,8636,33_0_0,INT,REF,0.114051086269745,0.0474327564192062,0.0218304393408244,91.9897959183673,18.8900753399682,-8.0474384272808,-5.64637575554052,0.341859311884026,0.409,732,877,38,550602.938421179,-13.2388740345507,-0.139896317831503,-0.258118558252492,0.0683141374509556,-83,-6.19669779278166,-61,0.02284293735496,0.100070928569764
1609,1609,4,LONG,raxml,40,NA,0.05,7410,33_0_0,INT,REF,0.123916538656886,0.0519919527186843,0.0239543192546523,93.1938775510204,15.0124746500659,-8.07225344465257,-5.55414477613704,0.3507259799156,0.414,671,880,50,550602.938421179,-8.57026833094409,-0.132014835136771,-0.269940782294591,0.0586159979749399,-83,-6.19669779278166,-61,0.0233749089194634,0.123977601911534
1610,1610,4,LONG,raxml,40,NA,0.1,4736,33_0_0,INT,REF,0.164386725146708,0.0657221234794643,0.0313144867659068,92.2244897959184,14.4511481456215,-7.42828745163503,-5.13554790950238,0.412792656136619,0.416,829,888,52,550602.938421179,-6.60707599618134,0.00295555601052472,-0.13792594715782,0.0374636122009872,-83,-6.19669779278166,-61,0.0267626762676268,0.150633664138666
1611,1611,4,LONG,raxml,40,NA,0,119272,33_0_0,INT,REF,0.37577413447545,0.00575732310911584,0.02640700183907,96.1938775510204,10.5446113303698,-10.0907606414858,-10.2685523102331,0.389148208052422,0.312,812,796,36,550602.938421179,-10.3314969448091,-0.164525951252543,-0.153688912547285,0.94348816605493,-83,-6.19669779278166,-61,0.0237814801888352,0.109619894761879
1612,1612,4,LONG,raxml,40,1,0.01,22194,33_0_0,INT,REF,0.0608820648935898,0.0240585888889671,0.0107700660394372,95.8061224489796,12.7000756254468,-8.38785293195286,-6.86778888558196,0.516237116504984,0.449,841,917,42,550602.938421179,-8.39403662466945,-0.0433481548210292,-0.0502444521789203,0.175563219845589,-83,-6.19669779278166,-61,0.029094827850132,0.102899951586442
1613,1613,4,LONG,raxml,40,1,0.02,13767,33_0_0,INT,REF,0.0757835989533718,0.0331809677780954,0.0147655358132025,95.9387755102041,12.5811316149213,-7.90355619274953,-5.92203715660381,0.364518574631382,0.405,705,875,36,550602.938421179,-13.49508392061,-0.14383705917887,-0.260088928926175,0.108902354132388,-83,-6.19669779278166,-61,0.0228419576651543,0.0980185616448275
1614,1614,4,LONG,raxml,40,1,0.03,10248,33_0_0,INT,REF,0.0958192704528958,0.0419756701527428,0.0190414851026965,95.1632653061225,13.2109716020872,-7.97082504198011,-5.78332147564566,0.33791857053666,0.405,730,875,40,550602.938421179,-13.5706002537411,-0.117237055084147,-0.235459295505136,0.0810656878876092,-83,-6.19669779278166,-61,0.0229369875763087,0.106553674646964
