,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
848,4,500000,raxml,40,0.25,0,NA,REF,INT-29_0_0,NA,1000,1,-30.4322295961622,861,1184,1.00000050002909e-06,0.000370188174967986,0.00115136549603876,76,-30.3694991474685,852,1266,61.959595959596,35.2472083688094,40164327.1752609,-28.7290181861424,413,403
849,4,500000,raxml,40,0.5,0.01,NA,REF,INT-29_0_0,NA,1000,1,-25.6146433669854,874,1318,1.00000050002909e-06,0.00126062517033385,0.00203985744578039,44,-25.5007876224988,854,1198,NA,NA,40164327.3215481,-23.9114319569656,426,405
850,4,500000,raxml,40,0.5,0.01,NA,REF,INT-29_0_0,NA,1000,1,-25.6146433669854,874,1219,1.00000050002909e-06,0.00126062517033385,0.00203985744578039,44,-25.5007876224988,754,1198,81.6262626262626,28.6137493204792,40164327.3215481,-23.9114319569656,426,405
851,4,500000,raxml,40,0.5,0.02,NA,REF,INT-29_0_0,NA,1000,1,-27.9251729150093,562,920,0.00135030397777719,0.00254522811705243,0.00436065991496519,48,-27.6573492510914,446,892,NA,NA,40164327.3942472,-26.2219615049895,114,179
852,4,500000,raxml,40,0.5,0.02,NA,REF,INT-29_0_0,NA,1000,1,-27.9251729150093,553,1010,0.00135030397777719,0.00254522811705243,0.00436065991496519,48,-27.6573492510914,528,972,82.3939393939394,26.3639434439284,40164327.3942472,-26.2219615049895,105,188
853,4,500000,raxml,40,0.5,0.03,NA,REF,INT-29_0_0,NA,1000,1,-24.9523187754872,859,1333,1.00000050002909e-06,0.00427642074213001,0.0068759111561536,40,-24.7647186830465,827,1299,NA,NA,40164327.7227804,-23.2491073654674,310,478
854,4,500000,raxml,40,0.5,0.03,NA,REF,INT-29_0_0,NA,1000,1,-24.9523187754872,859,1333,1.00000050002909e-06,0.00427642074213001,0.0068759111561536,40,-24.7647186830465,727,1299,84.3434343434343,23.8251117804353,40164327.7227804,-23.2491073654674,411,478
855,4,500000,raxml,40,0.5,0,NA,REF,INT-29_0_0,NA,1000,1,-26.9223866522851,881,1220,1.00000050002909e-06,0.000264856447735392,0.000853057421691058,72,-26.7558953519755,720,1256,NA,NA,40164327.1848036,-25.2191752422653,433,371
856,4,500000,raxml,40,0.5,0,NA,REF,INT-29_0_0,NA,1000,1,-26.9223866522851,780,1319,1.00000050002909e-06,0.000264856447735392,0.000853057421691058,72,-26.7558953519755,720,1256,63.5454545454545,34.2229403689303,40164327.1848036,-25.2191752422653,332,471
857,4,500000,raxml,40,0.75,0.01,NA,REF,INT-29_0_0,NA,1000,1,-27.3852582181763,767,1217,0.000836977867550821,0.00125968072582424,0.00181264035087525,42,-27.1830897312815,735,1183,NA,NA,40164327.2734524,-25.6820468081565,319,387
858,4,500000,raxml,40,0.75,0.01,NA,REF,INT-29_0_0,NA,1000,1,-27.3852582181763,767,1217,0.000836977867550821,0.00125968072582424,0.00181264035087525,42,-27.1830897312815,637,1183,86.5757575757576,23.9885563317055,40164327.2734524,-25.6820468081565,320,288
859,4,500000,raxml,40,0.75,0.02,NA,REF,INT-29_0_0,NA,1000,1,-26.120507748689,817,1275,1.00000050002909e-06,0.00269394169360898,0.00463486543932825,46,-25.881301417331,787,1143,NA,NA,40164327.4976531,-24.4172963386692,369,338
860,4,500000,raxml,40,0.75,0.02,NA,REF,INT-29_0_0,NA,1000,1,-26.120507748689,817,1176,1.00000050002909e-06,0.00269394169360898,0.00463486543932825,46,-25.881301417331,787,1241,82.6868686868687,25.431639648219,40164327.4976531,-24.4172963386692,369,338
861,4,500000,raxml,40,0.75,0.03,NA,REF,INT-29_0_0,NA,1000,1,-25.1200469201403,502,1046,0.000984857596711613,0.00440757586286724,0.00700762550363773,50,-24.9957854865369,490,936,NA,NA,40164327.7709645,-23.4168355101205,145,231
862,4,500000,raxml,40,0.75,0.03,NA,REF,INT-29_0_0,NA,1000,1,-25.1200469201403,598,1046,0.000984857596711613,0.00440757586286724,0.00700762550363773,50,-24.9957854865369,585,1029,85.969696969697,23.6679644613551,40164327.7709645,-23.4168355101205,145,236
863,4,500000,raxml,40,0.75,0,NA,REF,INT-29_0_0,NA,1000,1,-56.6610344328289,897,1266,0.000300343835839478,0.000255469017154995,0.000917167203328201,90,-56.2142430910171,880,1344,NA,NA,40164327.184645,-54.9578230228091,449,531
