,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1477,2,10000000,raxml,0,0,0.01,EXT,REF,0_0_0,367571,0.41557911493659,-23.1785665174136,499,1067,1.00000050002909e-06,0.000114419115666828,0.00020224543745184,12,-22.9726701135578,539,1011,NA,NA,440298987.435261,-19.826581029767,111,150
1478,2,10000000,raxml,0,0,0.01,EXT,REF,0_0_0,367571,0.41557911493659,-23.1785665174136,596,1067,1.00000050002909e-06,0.000114419115666828,0.00020224543745184,12,-22.9726701135578,443,1008,94.9183673469388,17.3874427193096,440298987.435261,-19.826581029767,14,57
1479,2,10000000,raxml,0,0,0.02,EXT,REF,0_0_0,194044,0.219387910849212,-23.3655780309623,708,1069,1.00000050002909e-06,0.000157457557993206,0.000367581823832986,52,-23.170152612777,555,1105,NA,NA,440298987.444946,-20.0135925433157,126,169
1480,2,10000000,raxml,0,0,0.02,EXT,REF,0_0_0,194044,0.219387910849212,-23.3655780309623,705,1069,1.00000050002909e-06,0.000157457557993206,0.000367581823832986,52,-23.170152612777,648,1102,82.3367346938775,30.8945475713794,440298987.444946,-20.0135925433157,126,169
1481,2,10000000,raxml,0,0,0.03,EXT,REF,0_0_0,117576,0.132932494722882,-23.6372834601884,604,1060,1.00000050002909e-06,0.000203349614498595,0.000577067948581635,80,-23.45238243315,548,1093,NA,NA,440298987.455745,-20.2852979725418,119,255
1482,2,10000000,raxml,0,0,0.03,EXT,REF,0_0_0,117576,0.132932494722882,-23.6372834601884,698,1152,1.00000050002909e-06,0.000203349614498595,0.000577067948581635,80,-23.45238243315,644,1093,67.1836734693878,38.1254973099289,440298987.455745,-20.2852979725418,216,258
1483,2,10000000,raxml,0,0,0.04,EXT,REF,0_0_0,79037,0.089359950886341,-23.3441202893722,769,1320,1.00000050002909e-06,0.000220088559390371,0.000736139016429529,102,-23.1675019581322,809,1259,NA,NA,440298987.445666,-19.9921348017256,383,325
1484,2,10000000,raxml,0,0,0.04,EXT,REF,0_0_0,79037,0.089359950886341,-23.3441202893722,769,1320,1.00000050002909e-06,0.000220088559390371,0.000736139016429529,102,-23.1675019581322,711,1163,55.1632653061224,42.9362255140435,440298987.445666,-19.9921348017256,383,325
1485,2,10000000,raxml,0,0,0.05,EXT,REF,0_0_0,47263,0.0534359775641932,-26.6985062083035,1070,1390,1.00000050002909e-06,0.000283908626420078,0.001072571621942,120,-26.394018873594,1010,1426,NA,NA,440298987.473555,-23.3465207206569,585,525
1486,2,10000000,raxml,0,0,0.05,EXT,REF,0_0_0,47263,0.0534359775641932,-26.6985062083035,1070,1488,1.00000050002909e-06,0.000283908626420078,0.001072571621942,120,-26.394018873594,1010,1426,51.765306122449,42.5723885689072,440298987.473555,-23.3465207206569,485,525
1487,2,10000000,raxml,0,0,0,EXT,REF,0_0_0,816019,0.922598501490708,-26.813926847696,714,1190,2.85483560055097e-06,4.19813979836648e-05,4.16173706528397e-05,16,-26.4765209053596,569,1043,NA,NA,440298987.415819,-23.4619413600494,229,282
1488,2,10000000,raxml,0,0,0,EXT,REF,0_0_0,816019,0.922598501490708,-26.813926847696,714,1092,2.85483560055097e-06,4.19813979836648e-05,4.16173706528397e-05,16,-26.4765209053596,668,1140,93.5102040816327,19.8552726892926,440298987.415819,-23.4619413600494,129,183
1489,2,10000000,raxml,0,1,0.01,EXT,REF,0_0_0,354128,0.400380336898898,-26.4446402683933,839,1263,1.00000050002909e-06,0.000116178441837731,0.000206029910021362,32,-26.2415088562548,878,1298,NA,NA,440298987.435655,-23.0926547807467,454,492
1490,2,10000000,raxml,0,1,0.01,EXT,REF,0_0_0,354128,0.400380336898898,-26.4446402683933,939,1361,1.00000050002909e-06,0.000116178441837731,0.000206029910021362,32,-26.2415088562548,878,1298,93.8673469387755,19.2608987784756,440298987.435655,-23.0926547807467,454,492
1491,2,10000000,raxml,0,1,0.02,EXT,REF,0_0_0,185272,0.209470207885094,-24.6777344185301,956,1468,1.00000050002909e-06,0.000159636544674155,0.000372481811077178,60,-24.5270460329961,994,1404,NA,NA,440298987.447423,-21.3257489308835,471,608
1492,2,10000000,raxml,0,1,0.02,EXT,REF,0_0_0,185272,0.209470207885094,-24.6777344185301,956,1370,1.00000050002909e-06,0.000159636544674155,0.000372481811077178,60,-24.5270460329961,895,1307,78.9081632653061,31.9993836070447,440298987.447423,-21.3257489308835,571,509
1493,2,10000000,raxml,0,1,0.03,EXT,REF,0_0_0,107958,0.122058296466055,-23.6162555111921,592,1153,1.00000050002909e-06,0.000207617522299862,0.000593483723004287,96,-23.4355435683913,632,1091,NA,NA,440298987.44734,-20.2642700235455,201,150
1494,2,10000000,raxml,0,1,0.03,EXT,REF,0_0_0,107958,0.122058296466055,-23.6162555111921,689,1058,1.00000050002909e-06,0.000207617522299862,0.000593483723004287,96,-23.4355435683913,536,1000,61.2959183673469,40.1646634413148,440298987.44734,-20.2642700235455,204,246
1495,2,10000000,raxml,0,1,0.04,EXT,REF,0_0_0,72224,0.081657111135482,-26.0205539060368,1129,1433,1.00000050002909e-06,0.000225215414164258,0.00076235097754023,110,-25.874452507442,1067,1467,NA,NA,440298987.462096,-22.6685684183902,544,582
1496,2,10000000,raxml,0,1,0.04,EXT,REF,0_0_0,72224,0.081657111135482,-26.0205539060368,1129,1433,1.00000050002909e-06,0.000225215414164258,0.00076235097754023,110,-25.874452507442,968,1370,50.1326530612245,43.2803466636035,440298987.462096,-22.6685684183902,544,681
1497,2,10000000,raxml,0,1,0.05,EXT,REF,0_0_0,42588,0.0481503800542466,-27.0750484495793,838,1202,1.00000050002909e-06,0.000294958272035673,0.00114051105394342,120,-26.7665963986317,779,1142,NA,NA,440298987.475603,-23.7230629619327,353,393
1498,2,10000000,raxml,0,1,0.05,EXT,REF,0_0_0,42588,0.0481503800542466,-27.0750484495793,738,1300,1.00000050002909e-06,0.000294958272035673,0.00114051105394342,120,-26.7665963986317,779,1142,45.4183673469388,42.8379645356124,440298987.475603,-23.7230629619327,353,393
1499,2,10000000,raxml,0,1,0,EXT,REF,0_0_0,840325,0.950079086106058,-26.8649155887025,594,1180,2.87383937336082e-06,4.20191489505848e-05,4.17583298191046e-05,20,-26.5217567065717,648,1033,NA,NA,440298987.415395,-23.5129301010559,109,262
1500,2,10000000,raxml,0,1,0,EXT,REF,0_0_0,840325,0.950079086106058,-26.8649155887025,694,1180,2.87383937336082e-06,4.20191489505848e-05,4.17583298191046e-05,20,-26.5217567065717,549,1033,92.9897959183673,21.699206550157,440298987.415395,-23.5129301010559,209,262
1501,2,10000000,raxml,20,0.25,0.01,EXT,REF,0_0_0,368154,0.41623826003783,-23.1756311630568,593,1070,1.00000050002909e-06,0.000114350239567416,0.000201866438695154,12,-22.9695040025966,539,917,NA,NA,440298987.435257,-19.8236456754102,108,57
1502,2,10000000,raxml,20,0.25,0.01,EXT,REF,0_0_0,368154,0.41623826003783,-23.1756311630568,596,975,1.00000050002909e-06,0.000114350239567416,0.000201866438695154,12,-22.9695040025966,443,1011,94.9897959183673,17.1839621332537,440298987.435257,-19.8236456754102,111,57
1503,2,10000000,raxml,20,0.25,0.02,EXT,REF,0_0_0,194434,0.219828848395496,-23.3533489338933,607,1160,1.00000050002909e-06,0.000157271022850981,0.00036649451515399,50,-23.1576121990636,647,1007,NA,NA,440298987.444922,-20.0013634462467,216,165
1504,2,10000000,raxml,20,0.25,0.02,EXT,REF,0_0_0,194434,0.219828848395496,-23.3533489338933,607,1160,1.00000050002909e-06,0.000157271022850981,0.00036649451515399,50,-23.1576121990636,647,1007,82.2959183673469,30.4770351886494,440298987.444922,-20.0013634462467,122,165
1505,2,10000000,raxml,20,0.25,0.03,EXT,REF,0_0_0,117613,0.132974327259324,-23.6297806077609,742,1104,1.00000050002909e-06,0.000203019394691395,0.000574771390967121,78,-23.4445432754912,592,1140,NA,NA,440298987.45751,-20.2777951201143,260,302
1506,2,10000000,raxml,20,0.25,0.03,EXT,REF,0_0_0,117613,0.132974327259324,-23.6297806077609,745,1196,1.00000050002909e-06,0.000203019394691395,0.000574771390967121,78,-23.4445432754912,592,1137,63.3877551020408,40.1919704380363,440298987.45751,-20.2777951201143,163,302
1507,2,10000000,raxml,20,0.25,0.04,EXT,REF,0_0_0,79095,0.0894255262137371,-28.2184358018596,620,1096,1.00000050002909e-06,0.000219621943378752,0.000732341538890459,94,-27.9074185969401,526,1046,NA,NA,440298987.446946,-24.866450314213,81,133
1508,2,10000000,raxml,20,0.25,0.04,EXT,REF,0_0_0,79095,0.0894255262137371,-28.2184358018596,620,1044,1.00000050002909e-06,0.000219621943378752,0.000732341538890459,94,-27.9074185969401,526,1000,60.9795918367347,39.6559896781994,440298987.446946,-24.866450314213,89,133
1509,2,10000000,raxml,20,0.25,0.05,EXT,REF,0_0_0,47343,0.0535264262916361,-26.6446237251573,992,1419,1.00000050002909e-06,0.000282225647074889,0.00106205398482188,114,-26.3395482076178,933,1359,NA,NA,440298987.472819,-23.2926382375107,506,449
1510,2,10000000,raxml,20,0.25,0.05,EXT,REF,0_0_0,47343,0.0535264262916361,-26.6446237251573,893,1420,1.00000050002909e-06,0.000282225647074889,0.00106205398482188,114,-26.3395482076178,932,1358,53.1734693877551,41.8364576150683,440298987.472819,-23.2926382375107,507,547
1511,2,10000000,raxml,20,0.25,0,EXT,REF,0_0_0,817869,0.924690128312826,-26.5801217233963,714,1190,2.84549087090561e-06,4.1938646888564e-05,4.1494774812167e-05,16,-26.2522764958575,569,1140,NA,NA,440298987.415823,-23.2281362357497,229,183
1512,2,10000000,raxml,20,0.25,0,EXT,REF,0_0_0,817869,0.924690128312826,-26.5801217233963,614,1190,2.84549087090561e-06,4.1938646888564e-05,4.1494774812167e-05,16,-26.2522764958575,569,1140,93.530612244898,19.8521359216639,440298987.415823,-23.2281362357497,129,282
1513,2,10000000,raxml,20,0.5,0.01,EXT,REF,0_0_0,366609,0.414491468989089,-23.1754781233515,593,1067,1.00000050002909e-06,0.000114338603566621,0.000201857528055416,12,-22.9693310561646,536,1008,NA,NA,440298987.435257,-19.8234926357049,111,57
1514,2,10000000,raxml,20,0.5,0.01,EXT,REF,0_0_0,366609,0.414491468989089,-23.1754781233515,596,1067,1.00000050002909e-06,0.000114338603566621,0.000201857528055416,12,-22.9693310561646,443,1008,94.8979591836735,17.4423881108243,440298987.435257,-19.8234926357049,108,57
1515,2,10000000,raxml,20,0.5,0.02,EXT,REF,0_0_0,194891,0.220345536751014,-23.3538670393738,612,1162,1.00000050002909e-06,0.000156957561138119,0.000365740838039275,44,-23.1580439415655,556,1012,NA,NA,440298987.444867,-20.0018815517272,221,170
1516,2,10000000,raxml,20,0.5,0.02,EXT,REF,0_0_0,194891,0.220345536751014,-23.3538670393738,709,1162,1.00000050002909e-06,0.000156957561138119,0.000365740838039275,44,-23.1580439415655,649,1012,83.4795918367347,29.0638222672129,440298987.444867,-20.0018815517272,127,263
1517,2,10000000,raxml,20,0.5,0.03,EXT,REF,0_0_0,116459,0.13166960436596,-23.62863032884,646,1102,1.00000050002909e-06,0.000202962150589865,0.000574623783679776,82,-23.4434235815508,590,1135,NA,NA,440298987.457502,-20.2766448411934,258,297
1518,2,10000000,raxml,20,0.5,0.03,EXT,REF,0_0_0,116459,0.13166960436596,-23.62863032884,646,1194,1.00000050002909e-06,0.000202962150589865,0.000574623783679776,82,-23.4434235815508,590,1135,65.6428571428571,39.7412377686131,440298987.457502,-20.2766448411934,161,204
1519,2,10000000,raxml,20,0.5,0.04,EXT,REF,0_0_0,78199,0.0884125004663762,-23.3213107183304,833,1187,1.00000050002909e-06,0.000219503813793549,0.000732020770366318,98,-23.144159284807,775,1223,NA,NA,440298987.461482,-19.9693252306838,349,292
1520,2,10000000,raxml,20,0.5,0.04,EXT,REF,0_0_0,78199,0.0884125004663762,-23.3213107183304,834,1284,1.00000050002909e-06,0.000219503813793549,0.000732020770366318,98,-23.144159284807,775,1224,58.2142857142857,40.7494861140199,440298987.461482,-19.9693252306838,348,389
1521,2,10000000,raxml,20,0.5,0.05,EXT,REF,0_0_0,46434,0.0524987026260657,-26.6461344494219,983,1313,1.00000050002909e-06,0.000282386724420764,0.00106259900802137,116,-26.3411006361225,924,1350,NA,NA,440298987.472861,-23.2941489617753,498,538
1522,2,10000000,raxml,20,0.5,0.05,EXT,REF,0_0_0,46434,0.0524987026260657,-26.6461344494219,883,1411,1.00000050002909e-06,0.000282386724420764,0.00106259900802137,116,-26.3411006361225,825,1350,51.8163265306122,43.2049412358268,440298987.472861,-23.2941489617753,498,538
1523,2,10000000,raxml,20,0.5,0,EXT,REF,0_0_0,818613,0.925531301478045,-26.5795236142453,714,1190,2.85111525056701e-06,4.19099279427096e-05,4.1469137317225e-05,16,-26.2516237232396,668,1043,NA,NA,440298987.415825,-23.2275381265987,229,282
1524,2,10000000,raxml,20,0.5,0,EXT,REF,0_0_0,818613,0.925531301478045,-26.5795236142453,614,1092,2.85111525056701e-06,4.19099279427096e-05,4.1469137317225e-05,16,-26.2516237232396,668,1140,93.5102040816327,19.8967670263852,440298987.415825,-23.2275381265987,229,282
1525,2,10000000,raxml,20,0.75,0.01,EXT,REF,0_0_0,365311,0.413023938386327,-23.1741793740299,596,1067,1.00000050002909e-06,0.000114318825311767,0.000201862113442263,12,-22.968070458052,443,1008,NA,NA,440298987.435252,-19.8221938863833,14,57
1526,2,10000000,raxml,20,0.75,0.01,EXT,REF,0_0_0,365311,0.413023938386327,-23.1741793740299,596,1067,1.00000050002909e-06,0.000114318825311767,0.000201862113442263,12,-22.968070458052,536,1008,94.7857142857143,17.8078229073919,440298987.435252,-19.8221938863833,108,57
