,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
9319,1,10000000,raxml,20,0,0.02,EXT,NOREF,0_0_0,0.213791,128220,0.164508629582301,-24.838195449267,724,1156,1.00000050002909e-06,8.69261495122517e-05,0.000180202913271194,44,-24.838195449267,625,1059,80.9381443298969,33.2430489078136,443295635.416696,-20.8106168886326,321,222
9320,1,10000000,raxml,20,0,0.02,EXT,REF,0_0_0,0.213791,128220,0.164508629582301,-27.2906758248215,682,1148,1.00000050002909e-06,0.000104784487739209,0.000217635689273871,48,-27.0557762388619,662,1124,82.3163265306122,31.4994998941729,653295635.412764,-29.7622743462772,180,259
9321,1,10000000,raxml,20,0,0.03,EXT,NOREF,0_0_0,0.213791,77149,0.0989835927596701,-24.863763995912,711,1239,1.00000050002909e-06,9.33063829629211e-05,0.000230766408696813,82,-24.863763995912,711,1239,NA,NA,443295635.419383,-20.8361854352777,405,405
9322,1,10000000,raxml,20,0,0.03,EXT,REF,0_0_0,0.213791,77149,0.0989835927596701,-27.0632349848556,810,1180,1.00000050002909e-06,0.00010766728478382,0.000266508942150546,98,-26.8425199329187,789,1253,NA,NA,653295635.415322,-29.5348335063114,308,287
9323,1,10000000,raxml,20,0,0.03,EXT,NOREF,0_0_0,0.213791,77149,0.0989835927596701,-24.863763995912,809,1238,1.00000050002909e-06,9.33063829629211e-05,0.000230766408696813,82,-24.863763995912,809,1143,63.8659793814433,41.2885246532404,443295635.419383,-20.8361854352777,308,308
9324,1,10000000,raxml,20,0,0.03,EXT,REF,0_0_0,0.213791,77149,0.0989835927596701,-27.0632349848556,810,1278,1.00000050002909e-06,0.00010766728478382,0.000266508942150546,98,-26.8425199329187,789,1253,66.1530612244898,40.2987175976709,653295635.415322,-29.5348335063114,308,386
9325,1,10000000,raxml,20,0,0.04,EXT,NOREF,0_0_0,0.213791,37540,0.0481645137616562,-25.8922319898171,1081,1483,1.00000050002909e-06,9.93437953130418e-05,0.000309159119366036,108,-25.8922319898171,982,1483,NA,NA,443295635.419663,-21.8646534291827,579,678
9326,1,10000000,raxml,20,0,0.04,EXT,REF,0_0_0,0.213791,37540,0.0481645137616562,-29.9485334328526,640,1008,1.00000050002909e-06,0.000124939580893263,0.000387766861333118,118,-29.6572341879904,622,1084,NA,NA,653295635.42616,-32.4201319543084,138,221
9327,1,10000000,raxml,20,0,0.04,EXT,NOREF,0_0_0,0.213791,37540,0.0481645137616562,-25.8922319898171,1081,1483,1.00000050002909e-06,9.93437953130418e-05,0.000309159119366036,108,-25.8922319898171,1081,1483,53.5051546391753,41.5968056945032,443295635.419663,-21.8646534291827,579,678
9328,1,10000000,raxml,20,0,0.04,EXT,REF,0_0_0,0.213791,37540,0.0481645137616562,-29.9485334328526,640,1104,1.00000050002909e-06,0.000124939580893263,0.000387766861333118,118,-29.6572341879904,622,1084,49.3061224489796,43.0486198787997,653295635.42616,-32.4201319543084,136,219
9329,1,10000000,raxml,20,0,0.05,EXT,NOREF,0_0_0,0.213791,23815,0.030555085115446,-28.7988206155867,917,1363,1.00000050002909e-06,0.000103441138173179,0.000381786028905554,118,-28.7988206155867,917,1460,NA,NA,443295635.421871,-24.7712420549523,514,514
9330,1,10000000,raxml,20,0,0.05,EXT,REF,0_0_0,0.213791,23815,0.030555085115446,-31.3171682726998,896,1300,1.00000050002909e-06,0.000140426874950206,0.000515478809775026,112,-30.9698994809793,879,1279,NA,NA,653295635.427024,-33.7887667941556,294,377
9331,1,10000000,raxml,20,0,0.05,EXT,NOREF,0_0_0,0.213791,23815,0.030555085115446,-28.7988206155867,1016,1363,1.00000050002909e-06,0.000103441138173179,0.000381786028905554,118,-28.7988206155867,1016,1363,43.6907216494845,41.3058613740084,443295635.421871,-24.7712420549523,514,613
9332,1,10000000,raxml,20,0,0.05,EXT,REF,0_0_0,0.213791,23815,0.030555085115446,-31.3171682726998,796,1300,1.00000050002909e-06,0.000140426874950206,0.000515478809775026,112,-30.9698994809793,879,1279,44.4489795918367,42.2293986737923,653295635.427024,-33.7887667941556,394,476
9333,1,10000000,raxml,20,0,0,EXT,NOREF,0_0_0,0.213791,474096,0.608273929577682,-27.1508230660328,881,1287,3.80851100906789e-05,3.13768837194302e-05,2.94668582020247e-05,30,-27.1508230660328,782,1287,NA,NA,443295635.399897,-23.1232445053984,478,379
9334,1,10000000,raxml,20,0,0,EXT,REF,0_0_0,0.213791,681397,0.874244943624168,9.08925220463622,694,1025,0.000135277873574165,3.9897698771243e-05,0.000171549276578151,24,9.35708263252696,677,1100,NA,NA,653295635.397364,6.61765368318046,191,176
9335,1,10000000,raxml,20,0,0,EXT,NOREF,0_0_0,0.213791,474096,0.608273929577682,-27.1508230660328,881,1190,3.80851100906789e-05,3.13768837194302e-05,2.94668582020247e-05,30,-27.1508230660328,881,1287,91.2886597938144,23.3880127606744,443295635.399897,-23.1232445053984,478,478
9336,1,10000000,raxml,20,0,0,EXT,REF,0_0_0,0.213791,681397,0.874244943624168,9.08925220463622,595,1122,0.000135277873574165,3.9897698771243e-05,0.000171549276578151,24,9.35708263252696,579,1100,91.3877551020408,24.0937313372968,653295635.397364,6.61765368318046,191,273
9337,1,10000000,raxml,20,1,0.01,EXT,NOREF,0_0_0,0.213791,187845,0.241008606487968,-27.9065231558531,614,1054,1.00000050002909e-06,7.8821739061814e-05,0.000132742825520411,30,-27.9065231558531,616,959,NA,NA,443295635.411743,-23.8789445952187,116,116
