,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1790,2,10000000,raxml,60,0,0,EXT,REF,0_0_0,1646,NA,-15.2386039075464,560,922,0.00143176624691211,7.05441519491752e-05,0.000113366582489126,20,-5.77033317788331,463,917,NA,0.239258554720061,503198144.42007,-12.1445329845904,-11,87
1791,2,10000000,raxml,60,1,0.01,EXT,NOREF,0_0_0,584,NA,-23.2577261588924,996,1429,1.00000050002909e-06,0.000143309166555607,0.00024635380465484,34,-23.2577261588924,996,1429,NA,0.239258554720061,453198144.447873,-18.4109642668644,620,619
1792,2,10000000,raxml,60,1,0.01,EXT,REF,0_0_0,584,NA,-29.2370247729154,552,1012,1.00000050002909e-06,0.000141972240121753,0.000242599267508096,18,16.1960547306844,453,911,NA,0.239258554720061,503198144.445017,-26.1429538499594,-21,77
1793,2,10000000,raxml,60,1,0.05,EXT,NOREF,0_0_0,110,NA,-23.7387680245407,1159,1557,1.00000050002909e-06,0.000262030877549917,0.0010598223048081,138,-23.7387680245407,1159,1557,NA,0.239258554720061,453198144.4756,-18.8920061325127,783,684
1794,2,10000000,raxml,60,1,0.05,EXT,REF,0_0_0,110,NA,-32.4067145951258,667,1133,1.00000050002909e-06,0.000259213407220629,0.00105352677856212,132,-32.7436460096634,568,1032,NA,0.239258554720061,503198144.47557,-29.3126436721698,92,192
1795,2,10000000,raxml,60,1,0.1,EXT,NOREF,0_0_0,45,NA,-27.2513235593342,785,1316,1.00000050002909e-06,0.000521821824992037,0.00248715899314676,152,-27.2513235593342,884,1316,NA,0.239258554720061,453198144.472228,-22.4045616673062,508,508
1796,2,10000000,raxml,60,1,0.1,EXT,REF,0_0_0,45,NA,-33.9624790132092,787,1269,1.00000050002909e-06,0.000514039542401912,0.00246259328562894,152,-34.3102922159532,688,1168,NA,0.239258554720061,503198144.519547,-30.8684080902532,312,312
1797,2,10000000,raxml,60,1,0.15,EXT,NOREF,0_0_0,18,NA,-27.0748956739767,720,1198,1.00000050002909e-06,0.000792702309451099,0.00691944511184455,176,-27.0748956739767,720,1198,NA,0.239258554720061,453198144.550906,-22.2281337819487,344,245
1798,2,10000000,raxml,60,1,0.15,EXT,REF,0_0_0,18,NA,-38.7052098757668,1262,1715,1.00000050002909e-06,0.000781552994010123,0.0068540943071195,170,-39.0790535693453,1163,1623,NA,0.239258554720061,503198144.565839,-35.6111389528108,696,787
1799,2,10000000,raxml,60,1,0,EXT,NOREF,0_0_0,1467,NA,-23.2655746908483,974,1321,1.00000050002909e-06,7.43076398016444e-05,6.89005112968565e-05,32,-23.2655746908483,974,1321,NA,0.239258554720061,453198144.420239,-18.4188127988203,599,599
